S.N.,Districts,Winter_alpha,Winter_Trend,PreMonsoon_alpha,PreMonsoon_Trend,Monsoon_alpha,Monsoon_Trend,PostMonsoon_alpha,PostMonsoon_Trend,Annual_alpha,Annual_Trend
30,Kailali,*,0.017,+,0.012,**,0.017,+,0.012,***,0.016
31,Kalikot,0,0,0,0.005,*,0.015,0,0.004,+,0.011
32,Kanchanpur,*,-0.035,+,-0.02,0,-0.008,*,-0.033,*,-0.018
33,Kapilbastu,0,0.009,0,0.014,**,0.018,0,0.004,**,0.016
34,Kaski,*,0.022,**,0.018,***,0.018,0,0.006,***,0.018
35,Kathmandu,0,-0.014,0,-0.004,0,0.005,0,-0.003,0,-0.002
36,Kavrepalanchok,*,0.015,*,0.016,***,0.023,**,0.017,***,0.02
37,Khotang,0,0.008,0,0.004,*,0.011,0,0.007,*,0.01
38,Lalitpur,+,0.014,+,0.013,***,0.019,*,0.013,***,0.017
39,Lamjung,0,-0.009,0,0.007,+,0.015,0,0.009,0,0.008
40,Mahottari,***,0.039,**,0.031,***,0.019,*,0.023,***,0.027
41,Makwanpur,*,0.021,**,0.018,***,0.023,**,0.024,***,0.023
42,Manang,**,-0.05,0,-0.019,0,-0.017,+,-0.03,**,-0.03
43,Morang,**,0.024,+,0.013,*,0.01,0,0.007,**,0.014
44,Mugu,**,-0.055,0,-0.019,0,0.013,+,-0.03,0,-0.011
45,Mustang,**,-0.043,0,-0.016,0,0.013,*,-0.027,+,-0.014
46,Myagdi,*,-0.029,0,-0.015,*,0.016,0,-0.014,0,-0.004
47,Nawalparasi,+,0.017,+,0.015,0,0.009,0,0.01,**,0.015
48,Nuwakot,0,0.009,*,0.016,***,0.024,**,0.022,***,0.021
49,Okhaldhunga,0,0.002,0,0.001,**,0.014,0,0.002,+,0.008
50,Palpa,0,0.004,0,0.005,0,0.002,0,0.001,0,0.004
51,Panchthar,0,-0.001,0,0.001,***,0.018,0,-0.006,0,0.007
52,Parbat,0,-0.002,0,-0.003,0,0.008,0,-0.001,0,0.003
53,Parsa,**,0.026,**,0.018,***,0.02,*,0.022,***,0.023
54,Pyuthan,0,0.003,0,0.007,***,0.019,0,0.003,*,0.009
55,Ramechhap,0,0.001,0,0.001,**,0.014,0,0.001,0,0.005
56,Rasuwa,+,-0.02,0,-0.001,+,0.015,0,-0.005,0,-0.001
57,Rautahat,0,-0.004,0,-0.001,***,0.021,0,0.001,+,0.008
58,Rolpa,***,0.033,***,0.028,**,0.026,*,0.019,0,0.025
59,Rukum,+,-0.019,0,-0.007,***,0.038,0,0.002,0,0.008
60,Rupandehi,*,0.021,*,0.014,**,0.013,0,0.007,**,0.017
61,Salyan,0,0.003,0,-0.001,***,0.019,0,0.011,**,0.012
62,Sankhuwasabha,+,-0.017,0,-0.01,0,0.005,0,-0.012,0,-0.007
63,Saptari,***,0.035,**,0.022,*,0.011,*,0.02,***,0.023
64,Sarlahi,***,0.037,***,0.031,***,0.019,*,0.021,***,0.027
65,Sindhuli,**,0.027,**,0.019,***,0.017,+,0.018,***,0.021
66,Sindhupalchok,0,-0.004,0,0.003,**,0.014,0,0.004,0,0.006
67,Siraha,***,0.039,**,0.026,***,0.019,**,0.028,***,0.029
68,Solukhumbu,**,-0.037,0,-0.016,0,0.007,0,-0.017,0,-0.01
69,Sunsari,***,0.032,*,0.019,**,0.01,0,0.015,***,0.019
70,Surkhet,0,-0.004,0,0,*,0.011,0,0.004,0,0.006
71,Syangja,0,0.006,0,0.005,+,0.008,0,0.007,*,0.009
72,Tanahu,*,0.018,*,0.016,***,0.026,*,0.025,***,0.023
73,Taplejung,*,-0.034,0,-0.014,0,0.008,+,-0.023,0,-0.01
74,Terhathum,0,0.007,0,0.007,**,0.014,0,-0.003,+,0.009
75,Udayapur,***,0.028,*,0.019,**,0.013,*,0.02,***,0.02
