S.N.,Districts,Winter_alpha,Winter_Trend,PreMonsoon_alpha,PreMonsoon_Trend,Monsoon_alpha,Monsoon_Trend,PostMonsoon_alpha,PostMonsoon_Trend,Annual_alpha,Annual_Trend
50,Palpa,*,0.02,***,0.045,***,0.056,***,0.039,***,0.043
51,Panchthar,***,0.093,***,0.073,***,0.074,***,0.085,***,0.082
52,Parbat,***,0.059,***,0.063,***,0.057,***,0.056,***,0.059
53,Parsa,0,-0.014,+,0.023,***,0.036,*,0.021,**,0.017
54,Pyuthan,***,0.028,*,0.031,***,0.045,***,0.038,***,0.04
55,Ramechhap,***,0.067,***,0.047,***,0.053,***,0.065,***,0.056
56,Rasuwa,***,0.077,***,0.061,***,0.063,***,0.068,***,0.069
57,Rautahat,+,-0.019,0,0.004,***,0.026,0,0.018,0,0.009
58,Rolpa,***,0.047,**,0.039,***,0.051,***,0.048,***,0.048
59,Rukum,***,0.056,**,0.042,***,0.068,***,0.06,***,0.064
60,Rupandehi,0,-0.012,+,0.025,***,0.043,**,0.022,***,0.021
61,Salyan,***,0.047,***,0.052,***,0.051,***,0.044,***,0.051
62,Sankhuwasabha,***,0.091,***,0.056,***,0.066,***,0.078,***,0.072
63,Saptari,0,0.017,+,0.025,***,0.036,***,0.044,***,0.03
64,Sarlahi,0,-0.01,0,0.002,***,0.029,+,0.019,+,0.013
65,Sindhuli,***,0.032,**,0.035,***,0.039,***,0.043,***,0.037
66,Sindhupalchok,***,0.063,***,0.049,***,0.053,***,0.056,***,0.055
67,Siraha,0,0.015,*,0.024,***,0.034,***,0.039,***,0.029
68,Solukhumbu,***,0.1,***,0.056,***,0.068,***,0.084,***,0.076
69,Sunsari,*,0.02,*,0.029,***,0.04,***,0.045,***,0.033
70,Surkhet,***,0.032,***,0.049,***,0.052,***,0.042,***,0.044
71,Syangja,***,0.036,**,0.046,***,0.052,***,0.043,***,0.047
72,Tanahu,***,0.028,***,0.044,***,0.05,***,0.038,***,0.042
73,Taplejung,***,0.113,***,0.072,***,0.077,***,0.094,***,0.091
74,Terhathum,***,0.088,***,0.068,***,0.07,***,0.082,***,0.077
75,Udayapur,***,0.036,**,0.038,***,0.043,***,0.056,***,0.043
