,Precipitaton (mm),Precipitaton (mm),Precipitaton (mm),Precipitaton (mm),Precipitaton (mm),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Maximum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C),Minimum Temperature (C)
Khotang,35.2,201.6,1104.5,60.9,1402.2,18.1,25.2,26.4,23.3,23.5,5.8,13.3,18.8,12.1,13.1
Lalitpur,50.7,195.2,1297.2,61,1603.9,17.3,24.9,26.3,22.4,23,4.3,11.9,18.2,10.6,11.9
Lamjung,69.6,311,1695.7,76.4,2152.6,13.2,19.9,22.5,18.1,18.8,1.7,8.1,13.6,6.9,8.2
Mahottari,27.1,150.7,1071.6,59.5,1308.9,24.2,33.4,33.1,30.1,30.4,10.2,19.4,25.1,17.9,18.7
Makwanpur,45.2,217,1622.7,76.6,1961.4,20.6,29.2,29.7,26,26.7,7.1,15.4,21.3,13.9,15.1
Manang,56.5,107.1,406.2,42.4,612,-0.7,3.1,8.9,3.8,4.2,-9.3,-5.4,0.3,-6.2,-4.6
Morang,33.4,237.5,1491.7,101.3,1863.9,23.8,31.7,31.9,29.4,29.4,10.1,18.8,24.1,17.3,18.1
Mugu,74.4,131.6,554,41.1,801,5.3,10.4,15.6,10.3,10.8,-6.6,-1,6.4,-2.2,-0.1
Mustang,25.6,44.7,166.6,21,257.8,0.2,4.3,10.2,4.7,5.3,-8.9,-4.8,1.9,-5.5,-3.7
Myagdi,59.8,176.7,1247.5,62.2,1546.2,7,12.4,16.7,11.8,12.4,-3.4,1.9,8.3,0.9,2.5
Nawalparasi,51.4,205.4,1622.8,73.2,1952.8,22.8,32.7,32.7,28.8,29.6,9.3,18.1,23.9,16.3,17.5
Nuwakot,54.4,243.7,1820.1,67.8,2185.9,17.8,25.5,26.8,22.8,23.6,5.1,12.5,18.4,11.3,12.4
Okhaldhunga,32.5,185.2,1107,60.1,1384.8,17,24.1,25.4,22.1,22.4,4.7,12,17.9,10.9,12
Palpa,51.4,169.7,1399.7,59.6,1680.5,19.7,28.6,29.2,25.4,26.1,7.2,15.2,20.7,13.6,14.8
Panchthar,41.1,271.4,1087,69.3,1468.8,16.3,22.8,24.7,21.6,21.6,5,12,17.4,10.8,11.8
Parbat,64.1,274.9,2169.5,80.2,2588.7,17.9,25.5,27,23,23.7,5.2,12.4,18.2,11.1,12.3
Parsa,34.8,159.4,1308.8,62.7,1565.6,23.7,33.4,33.1,29.7,30.3,9.6,18.7,24.6,17,18.1
Pyuthan,60.3,152.2,1264.5,54.4,1531.6,18.3,26.7,27.7,23.7,24.4,5.6,13.7,19.3,11.8,13.2
Ramechhap,33.4,175.2,1037.8,53,1299.4,14.2,20.9,23,19.3,19.7,2.2,9,15.3,8,9.2
Rasuwa,42.8,125.3,860.7,46,1074.7,5.5,10.5,14.6,10.1,10.6,-4.2,0.9,6.9,0.1,1.5
Rautahat,30.7,154.9,1285.5,66.8,1537.8,15.8,23.6,25.2,20.8,21.7,3.1,10.7,16.7,8.9,10.5
Rolpa,71.7,157.8,1171.5,57.2,1458.2,24.2,33.8,33.6,30.4,30.8,10.2,19.4,25.3,17.8,18.8
Rukum,65.6,139.7,1031.1,55.6,1292.1,11.2,17.9,21.2,16.1,17.1,-0.8,5.7,12.5,4.4,6.1
Rupandehi,47,121.5,1502.7,74.3,1745.4,23.8,34.3,33.6,30.2,30.7,10.4,19.7,25.2,17.7,18.9
Salyan,64.8,110.3,935.1,52.7,1162.9,19.2,28.4,28.7,24.4,25.5,5.6,13.9,19.8,11.8,13.4
Sankhuwasabha,50.9,385.4,1513.6,99.5,2049.4,25,33.4,33.1,30.7,30.7,10.6,19.7,25,18.2,18.9
Saptari,27.7,166,1140.2,68.2,1402,24.2,33.6,33.4,30.2,30.6,10.2,19.4,25.2,17.9,18.8
Sarlahi,29.2,152.7,1221.4,69.9,1473.2,10,15.7,18.8,14.9,15.2,-0.1,5.7,11.4,4.7,6
Sindhuli,36.2,205.4,1376.3,80.9,1698.8,21.3,29.6,30,26.8,27.2,7.8,16.1,22,14.8,15.8
Sindhupalchok,51.9,218.4,1687.8,77,2034.9,11.9,18.3,21,16.8,17.4,0.3,6.7,13,5.7,7
Siraha,26.3,151,1047.1,61.4,1285.7,24.6,33.4,33.1,30.4,30.6,10.5,19.6,25.1,18.2,19
Solukhumbu,30.5,138.1,1040.8,48.8,1257.9,3.6,8.1,12.5,8.3,8.5,-5.4,-0.7,5.6,-1.3,0.1
Sunsari,32.8,226.9,1433.6,101.1,1794.3,24.5,32.6,32.5,30.1,30.1,10.4,19.3,24.7,17.8,18.6
Surkhet,77.8,115.1,1148.1,51.1,1391.9,20.1,30.3,30.4,25.9,27,7,15.7,21.5,13.4,15.1
Syangja,54.5,268.5,1729.9,65.2,2118.4,20,28.3,29.3,25.3,26,7.1,14.7,20.5,13.4,14.5
Tanahu,56.4,330.7,1472.4,65.7,1925.2,21.5,30.3,30.9,27,27.8,8.2,16.3,22.1,14.9,16
Taplejung,40.6,271.4,1087,69.3,1468.4,5.2,9.8,14.3,10.1,10.2,-3.5,1.5,7.3,0.7,2
Terhathum,34.6,244.5,846.4,53.9,1179.4,17.4,24.1,25.8,22.7,22.8,5.8,13,18.2,11.7,12.7
Udayapur,30.7,177,1076,65.5,1349.3,22.5,30.4,30.6,27.9,28.1,8.9,17.3,22.8,16.1,16.8
