DATE,TMIN,TMAX,TAVG
1978-02-11,7,,
1978-02-12,7,13,10
1978-02-15,10,16,13
1978-02-18,9,16,12.5
1978-02-21,13,,
1978-02-22,7,,
1978-02-23,7,,
1978-02-24,8,,
1978-02-25,20,,
1978-02-26,12,21,16.5
1978-02-27,12,22,17
1978-02-28,13,,
1978-03-01,13,21,17
1978-03-02,12,,
1978-03-08,12,,
1978-03-09,19,,
1978-03-16,11,,
1978-03-17,12,21,16.5
1978-03-19,10,,
1978-03-21,12,21,16.5
1978-03-22,12,21,16.5
1978-03-23,13,,
1978-03-25,15,,
1978-03-31,9,19,14
1978-04-01,11,21,16
1978-04-22,14,23,18.5
1978-04-23,16,23,19.5
1978-04-25,16,,
1978-04-27,25,,
1978-04-28,18,25,21.5
1978-05-01,17,24,20.5
1978-05-03,16,24,20
1978-05-06,17,,
1978-05-07,17,23,20
1978-05-11,17,24,20.5
1978-05-13,25,,
1978-05-14,18,,
1978-05-29,24,,
1978-05-30,18,,
1978-05-31,18,,
1978-06-01,17,,
1978-06-03,17,25,21
1978-06-06,20,25,22.5
1978-06-07,19,24,21.5
1978-06-08,19,,
1978-06-14,18,24,21
1978-06-16,25,,
1978-06-17,19,25,22
1978-06-28,25,,
1978-06-29,20,,
1978-07-04,17,,
1978-07-09,18,,
1978-07-14,18,24,21
1978-07-19,21,,
1978-07-25,19,25,22
1978-07-27,19,23,21
1978-07-29,19,26,22.5
1978-07-31,19,25,22
1978-08-01,18,23,20.5
1978-08-02,19,26,22.5
1978-08-06,19,,
1978-08-10,25,,
1978-08-11,20,27,23.5
1978-08-12,20,28,24
1978-08-13,27,,
1978-08-17,19,26,22.5
1978-08-23,18,24,21
1978-08-25,18,27,22.5
1978-08-27,19,,
1978-08-28,20,29,24.5
1978-08-30,20,25,22.5
1978-09-04,18,24,21
1978-09-07,18,26,22
1978-09-12,17,21,19
1978-09-15,17,25,21
1978-09-16,17,24,20.5
1978-09-18,17,24,20.5
1978-09-20,17,24,20.5
1978-09-21,18,,
1978-09-23,17,,
1978-09-24,18,25,21.5
1978-09-30,17,23,20
1978-10-09,23,,
1978-10-14,16,,
1978-10-16,16,23,19.5
1978-10-17,16,,
1978-10-18,14,23,18.5
1978-10-21,13,,
1978-10-30,15,,
1978-11-10,13,19,16
1978-11-12,13,21,17
1978-11-16,11,19,15
1978-11-19,11,,
1978-11-22,10,,
1978-11-24,10,17,13.5
1978-11-26,10,,
1978-12-01,8,18,13
1978-12-02,9,11,10
1978-12-04,8,,
1978-12-05,8,20,14
1978-12-06,12,20,16
1978-12-07,11,19,15
1978-12-10,18,,
1978-12-12,20,,
1978-12-16,10,18,14
1978-12-17,8,16,12
1978-12-23,8,16,12
1978-12-28,7,17,12
1978-12-29,18,,
1978-12-31,8,16,12
1979-01-01,16,,
1979-01-06,6,,
1979-01-13,8,16,12
1979-01-28,7,16,11.5
1979-02-01,12,,
1979-02-07,16,,
1979-02-08,4,9,6.5
1979-02-15,9,,
1979-02-17,19,,
1979-02-20,10,18,14
1979-02-27,7,,
1979-03-03,10,20,15
1979-03-06,21,,
1979-03-10,7,,
1979-03-15,11,20,15.5
1979-03-16,19,,
1979-03-18,12,22,17
1979-03-19,12,,
1979-03-21,22,,
1979-03-23,13,24,18.5
1979-03-24,23,,
1979-03-28,15,,
1979-03-30,15,23,19
1979-04-07,15,,
1979-04-21,24,,
1979-04-30,24,,
1979-05-01,22,,
1979-05-02,17,21,19
1979-05-08,19,,
1979-05-09,28,,
1979-05-10,25,,
1979-05-12,17,,
1979-05-14,18,26,22
1979-05-15,19,27,23
1979-05-27,20,28,24
1979-06-13,17,,
1979-06-16,17,24,20.5
1979-06-19,26,,
1979-06-20,19,26,22.5
1979-06-21,19,24,21.5
1979-06-22,18,25,21.5
1979-06-26,19,,
1979-07-04,19,25,22
1979-07-31,18,,
1979-08-03,28,,
1979-08-05,20,29,24.5
1979-08-06,21,,
1979-08-07,29,,
1979-08-11,19,27,23
1979-08-12,19,26,22.5
1979-08-13,19,25,22
1979-08-18,19,24,21.5
1979-08-25,18,23,20.5
1979-08-27,17,22,19.5
1979-08-28,23,,
1979-08-29,17,23,20
1979-09-01,18,24,21
1979-09-03,17,23,20
1979-09-08,23,,
1979-09-09,25,,
1979-09-10,17,,
1979-09-15,15,22,18.5
1979-09-16,16,24,20
1979-09-17,24,,
1979-09-18,24,,
1979-09-19,17,24,20.5
1979-09-21,17,24,20.5
1979-09-22,17,,
1979-09-24,17,24,20.5
1979-09-25,17,25,21
1979-09-29,17,24,20.5
1979-10-03,17,,
1979-10-08,21,,
1979-10-11,14,21,17.5
1979-10-24,13,21,17
1979-10-26,20,,
1979-10-28,13,,
1979-11-08,12,,
1979-11-19,18,,
1979-11-21,11,,
1979-11-27,19,,
1979-12-19,5,13,9
1979-12-21,13,,
1979-12-22,5,,
1979-12-27,8,14,11
1979-12-30,7,,
1980-01-02,7,13,10
1980-01-03,7,,
1980-01-06,15,,
1980-01-10,14,,
1980-01-11,6,,
1980-01-16,7,14,10.5
1980-01-19,8,,
1980-01-20,7,15,11
1980-01-22,14,,
1980-01-23,15,,
1980-01-24,7,,
1980-01-25,7,14,10.5
1980-01-27,8,14,11
1980-02-06,8,15,11.5
1980-02-08,12,,
1980-02-11,7,14,10.5
1980-02-12,7,15,11
1980-02-13,15,,
1980-02-14,9,19,14
1980-02-15,19,,
1980-02-16,19,,
1980-02-17,9,18,13.5
1980-02-18,9,15,12
1980-02-19,9,16,12.5
1980-02-20,16,,
1980-02-23,12,19,15.5
1980-02-27,12,18,15
1980-02-29,12,20,16
1980-03-01,17,,
1980-03-05,15,,
1980-03-12,14,21,17.5
1980-04-02,16,,
1980-04-04,24,,
1980-04-05,17,25,21
1980-04-08,26,,
1980-04-09,26,,
1980-04-10,17,25,21
1980-04-20,27,,
1980-04-23,18,25,21.5
1980-04-26,20,28,24
1980-04-27,26,,
1980-05-03,25,,
1980-05-16,16,24,20
1980-05-18,25,,
1980-05-22,18,,
1980-05-23,18,25,21.5
1980-05-24,17,25,21
1980-05-25,16,26,21
1980-05-26,16,23,19.5
1980-05-30,23,,
1980-06-02,18,25,21.5
1980-06-10,24,,
1980-06-14,19,23,21
1980-06-15,18,25,21.5
1980-06-18,18,26,22
1980-06-19,23,,
1980-06-20,18,,
1980-06-30,20,28,24
1980-07-02,19,25,22
1980-07-10,25,,
1980-07-11,19,25,22
1980-07-13,20,,
1980-07-21,25,,
1980-07-22,27,,
1980-07-23,19,27,23
1980-07-25,19,,
1980-07-27,18,26,22
1980-07-29,24,,
1980-07-31,24,,
1980-08-01,18,24,21
1980-08-04,25,,
1980-08-23,18,27,22.5
1980-08-26,19,27,23
1980-08-28,18,,
1980-08-29,18,24,21
1980-09-01,18,27,22.5
1980-09-06,18,26,22
1980-09-07,18,26,22
1980-09-10,18,,
1980-09-13,17,23,20
1980-09-16,22,,
1980-09-22,17,23,20
1980-10-12,14,23,18.5
1980-10-30,12,22,17
1980-10-31,22,,
1980-11-01,15,22,18.5
1980-11-04,14,,
1980-11-06,20,,
1980-11-07,13,20,16.5
1980-11-09,14,22,18
1980-11-10,22,,
1980-11-11,13,21,17
1980-11-14,14,20,17
1980-11-15,13,20,16.5
1980-11-17,13,20,16.5
1980-11-18,13,20,16.5
1980-11-19,13,19,16
1980-11-21,13,21,17
1980-11-22,13,,
1980-11-25,10,17,13.5
1980-11-26,11,18,14.5
1980-11-29,11,17,14
1980-12-01,11,20,15.5
1980-12-02,11,19,15
1980-12-03,19,,
1980-12-05,11,17,14
1980-12-12,18,,
1980-12-13,10,17,13.5
1980-12-15,10,17,13.5
1980-12-18,9,,
1980-12-19,10,16,13
1980-12-29,19,,
1980-12-31,9,16,12.5
1981-01-01,9,16,12.5
1981-01-02,9,16,12.5
1981-01-03,17,,
1981-01-06,7,,
1981-01-07,10,,
1981-01-09,13,,
1981-01-13,6,,
1981-01-14,7,15,11
1981-01-19,8,12,10
1981-01-20,7,15,11
1981-01-21,8,15,11.5
1981-01-22,8,14,11
1981-01-23,7,15,11
1981-01-27,16,,
1981-01-28,18,,
1981-02-02,14,,
1981-02-03,9,,
1981-02-11,13,,
1981-02-12,8,10,9
1981-02-13,15,,
1981-02-16,11,17,14
1981-02-17,18,,
1981-02-18,17,,
1981-02-20,12,19,15.5
1981-02-21,12,19,15.5
1981-02-22,18,,
1981-02-25,21,,
1981-02-26,14,20,17
1981-02-27,14,20,17
1981-03-02,21,,
1981-03-03,20,,
1981-03-21,15,24,19.5
1981-03-22,24,,
1981-03-23,14,,
1981-03-24,15,22,18.5
1981-03-25,14,22,18
1981-03-27,18,,
1981-03-28,10,19,14.5
1981-03-29,12,18,15
1981-03-30,18,,
1981-04-01,18,,
1981-04-03,19,,
1981-04-05,14,23,18.5
1981-04-08,24,,
1981-04-09,16,23,19.5
1981-04-10,14,22,18
1981-04-11,16,24,20
1981-04-12,13,24,18.5
1981-04-13,15,23,19
1981-04-14,24,,
1981-04-15,24,,
1981-04-16,15,19,17
1981-04-19,13,21,17
1981-04-20,16,20,18
1981-04-21,20,,
1981-04-22,21,,
1981-04-23,16,24,20
1981-04-27,22,,
1981-05-04,16,24,20
1981-05-21,26,,
1981-05-22,24,,
1981-05-23,17,25,21
1981-05-27,17,23,20
1981-05-30,17,23,20
1981-06-03,19,25,22
1981-06-09,18,24,21
1981-06-10,19,24,21.5
1981-06-16,19,,
1981-06-26,19,24,21.5
1981-07-07,20,26,23
1981-07-10,25,,
1981-07-12,20,24,22
1981-07-13,20,26,23
1981-07-17,19,24,21.5
1981-07-23,20,25,22.5
1981-07-25,19,,
1981-07-29,25,,
1981-08-06,20,26,23
1981-08-08,27,,
1981-08-12,24,,
1981-08-13,20,26,23
1981-08-18,24,,
1981-08-19,19,24,21.5
1981-08-26,18,,
1981-09-13,18,,
1981-10-15,24,,
1981-10-16,16,24,20
1981-10-17,16,23,19.5
1981-10-19,15,24,19.5
1981-10-20,16,22,19
1981-10-21,16,21,18.5
1981-10-27,20,,
1981-11-01,14,20,17
1981-11-30,19,,
1981-12-01,10,,
1981-12-14,7,18,12.5
1981-12-19,16,,
1981-12-23,8,15,11.5
1981-12-24,16,,
1981-12-29,8,15,11.5
1982-01-09,10.4,17.6,14
1982-01-11,16.2,,
1982-01-13,8.6,16,12.3
1982-01-16,15.4,,
1982-01-22,16.5,,
1982-02-01,7.4,,
1982-02-15,8.8,15,11.9
1982-02-25,8.9,16.3,12.6
1982-02-28,19.9,,
1982-03-07,7.3,15.1,11.2
1982-03-08,8,16.1,12.05
1982-03-09,9,,
1982-03-10,9.2,,
1982-03-11,21.1,,
1982-03-15,12.2,20.1,16.15
1982-03-20,12,21.4,16.7
1982-03-21,13.2,21.5,17.35
1982-04-01,13,,
1982-04-03,23,,
1982-04-06,16.8,26.2,21.5
1982-04-08,16.4,26.4,21.4
1982-04-15,22.9,,
1982-04-17,13,21.5,17.25
1982-04-26,12.4,23.8,18.1
1982-04-30,17.4,24.2,20.8
1982-05-01,17.8,25.6,21.7
1982-05-06,25,,
1982-05-09,19.2,24.6,21.9
1982-05-12,19,25.5,22.25
1982-05-17,17.8,,
1982-05-18,18.4,25.3,21.85
1982-05-24,19,27.8,23.4
1982-05-30,17.3,25.9,21.6
1982-06-04,25.8,,
1982-06-17,18.8,,
1982-07-03,19.5,,
1982-07-04,21.7,,
1982-07-07,18.3,22.4,20.35
1982-07-08,18.8,24.4,21.6
1982-07-13,18.5,25,21.75
1982-07-15,18.3,,
1982-07-16,19.2,25.1,22.15
1982-07-17,19.9,26.3,23.1
1982-07-21,24.5,,
1982-08-03,18.4,20.1,19.25
1982-08-04,17.3,21.8,19.55
1982-08-05,18.2,23.2,20.7
1982-08-09,19,23.9,21.45
1982-08-12,20.2,26.4,23.3
1982-08-13,20,27.2,23.6
1982-08-30,18,,
1982-09-06,19.5,,
1982-09-12,18,23.8,20.9
1982-09-13,21,,
1982-09-15,18.2,,
1982-11-04,20.5,,
1982-11-10,15.1,,
1982-11-12,14.8,,
1982-11-13,10.8,16.8,13.8
1982-11-14,11.6,18.4,15
1982-11-16,12.2,18.4,15.3
1982-11-17,12,18.9,15.45
1982-11-19,12.9,19.5,16.2
1982-11-20,13,19.7,16.35
1982-11-22,18.2,,
1982-11-23,11.4,17.6,14.5
1982-11-24,10.2,,
1982-11-26,8.2,15.8,12
1982-12-01,15.9,,
1982-12-20,8.2,,
1982-12-22,9.2,16.7,12.95
1982-12-24,14.9,,
1983-01-10,11.3,,
1983-01-11,11.9,,
1983-01-14,13.5,,
1983-01-16,0.5,14.4,7.45
1983-01-18,6.8,,
1983-02-09,6.8,16.4,11.6
1983-02-18,18.5,,
1983-02-22,9,16.8,12.9
1983-02-23,8,15.3,11.65
1983-02-24,9.3,14.7,12
1983-02-25,9,16.8,12.9
1983-02-27,8.5,,
1983-03-09,12,18.6,15.3
1983-03-11,13.8,21.8,17.8
1983-03-12,15.2,,
1983-03-15,11.8,,
1983-03-17,12,18.5,15.25
1983-04-06,17.6,24.3,20.95
1983-04-12,12.6,,
1983-04-16,12.4,14.3,13.35
1983-04-17,12.6,19.3,15.95
1983-05-04,16,22.2,19.1
1983-06-21,20.2,24.5,22.35
1983-06-25,19,26.4,22.7
1983-06-26,18.8,,
1983-06-27,18.2,26.8,22.5
1983-06-28,18.6,25.7,22.15
1983-06-30,19.7,,
1983-07-02,18,,
1983-07-06,18.8,22.8,20.8
1983-07-07,19.2,23.5,21.35
1983-07-08,19.4,25.2,22.3
1983-07-09,20,,
1983-07-10,19.6,25,22.3
1983-07-12,19.4,24.3,21.85
1983-07-13,19.6,25,22.3
1983-07-14,23.1,,
1983-07-16,17.8,21.1,19.45
1983-07-17,18.6,24.7,21.65
1983-07-18,19.5,26.6,23.05
1983-07-19,19.6,25.4,22.5
1983-07-20,20,24.6,22.3
1983-07-21,20.4,26.1,23.25
1983-07-22,19.6,26.1,22.85
1983-07-23,19.6,25,22.3
1983-07-24,17.4,24.7,21.05
1983-07-28,18.4,23.7,21.05
1983-07-30,26.4,,
1983-07-31,19.7,23.4,21.55
1983-08-02,20.2,25.8,23
1983-08-03,18.6,24,21.3
1983-08-04,18.4,,
1983-08-05,18,24.3,21.15
1983-08-06,26.4,,
1983-08-07,20.2,26.4,23.3
1983-08-08,20.2,27.1,23.65
1983-08-10,19.2,23.4,21.3
1983-08-11,19,23.2,21.1
1983-08-12,19.2,25.2,22.2
1983-08-14,26.4,,
1983-08-15,19.6,26.2,22.9
1983-08-16,19.5,25.3,22.4
1983-08-17,15.8,26.3,21.05
1983-08-18,20.3,27.2,23.75
1983-08-19,20,27.4,23.7
1983-08-23,21.8,,
1983-08-24,22.2,,
1983-08-25,19,,
1983-08-27,26.5,,
1983-08-28,23.3,,
1983-08-30,19.2,22.8,21
1983-08-31,19,23.7,21.35
1983-09-01,24.2,,
1983-09-03,25.5,,
1983-09-04,18.6,24.5,21.55
1983-09-05,24,,
1983-09-06,18.6,25.4,22
1983-09-07,18.8,26.4,22.6
1983-09-08,18.8,25.4,22.1
1983-09-10,18.6,24.3,21.45
1983-09-11,19,23.7,21.35
1983-09-14,17.5,22.9,20.2
1983-09-15,17.6,23.5,20.55
1983-09-16,17.8,25.6,21.7
1983-09-17,17.8,23.3,20.55
1983-09-18,15.2,22.9,19.05
1983-09-19,18.2,25.6,21.9
1983-09-22,18.2,22.3,20.25
1983-09-23,18,24.4,21.2
1983-09-24,18.2,23.8,21
1983-09-28,17.8,23.3,20.55
1983-10-02,26.4,,
1983-10-03,17,,
1983-10-09,18.6,22.1,20.35
1983-10-10,17.6,24.8,21.2
1983-10-13,22.2,,
1983-10-14,16.6,22.5,19.55
1983-10-15,23.1,,
1983-10-16,16.2,20.6,18.4
1983-10-17,20.5,,
1983-10-20,15,27.1,21.05
1983-10-21,16.5,24.5,20.5
1983-10-22,15.2,23.2,19.2
1983-10-25,13.4,19,16.2
1983-10-26,13.4,20.8,17.1
1983-11-19,12,20.2,16.1
1983-11-20,11.8,17.7,14.75
1983-11-21,11.4,,
1983-11-22,11.2,21.4,16.3
1983-11-26,21.2,,
1983-11-28,11,18.5,14.75
1983-11-29,10.4,,
1983-11-30,10.7,18,14.35
1983-12-02,9.1,18.9,14
1983-12-03,17.8,,
1983-12-04,9.6,17.3,13.45
1983-12-05,8.8,17.5,13.15
1983-12-25,7,11.2,9.1
1983-12-26,6,8,7
1984-01-02,6.8,12.5,9.65
1984-01-03,7.2,18.9,13.05
1984-01-04,7.6,15,11.3
1984-01-05,6.6,14.1,10.35
1984-01-06,6.4,15.3,10.85
1984-01-12,7.4,,
1984-01-13,16.8,,
1984-01-15,13.8,,
1984-01-16,7,,
1984-01-18,4,,
1984-01-19,3.2,7.6,5.4
1984-01-21,4.8,10.4,7.6
1984-01-23,5,12.5,8.75
1984-01-24,5.6,12.8,9.2
1984-01-25,5.5,12.3,8.9
1984-01-26,5.2,14.1,9.65
1984-01-27,15.4,,
1984-01-28,5.4,13,9.2
1984-01-29,5,,
1984-01-30,5,13.6,9.3
1984-02-01,7.4,,
1984-02-02,7.8,15.1,11.45
1984-02-03,8.4,,
1984-02-04,9.4,17.3,13.35
1984-02-05,9,15,12
1984-02-06,8.4,15.8,12.1
1984-02-07,8,15.8,11.9
1984-02-08,9,15.4,12.2
1984-02-11,7,,
1984-02-13,8,15.3,11.65
1984-02-14,9.4,16.4,12.9
1984-02-16,9.8,18,13.9
1984-02-17,10.6,18.6,14.6
1984-02-19,11.6,16.7,14.15
1984-02-20,8.2,12.4,10.3
1984-02-21,9.5,18.3,13.9
1984-02-23,9.4,,
1984-02-25,8.6,14.9,11.75
1984-02-26,8.6,15.6,12.1
1984-02-27,9.4,16.2,12.8
1984-02-28,10,16.7,13.35
1984-02-29,10.4,17.4,13.9
1984-03-01,11,,
1984-03-02,11,17.1,14.05
1984-03-03,11.4,16.8,14.1
1984-03-04,12.1,,
1984-03-05,11.6,17.8,14.7
1984-03-08,12,19.3,15.65
1984-03-09,12.8,19,15.9
1984-03-10,13.1,19.1,16.1
1984-03-12,20.2,,
1984-03-14,15.4,21.8,18.6
1984-03-15,22,,
1984-03-16,21.6,,
1984-03-17,16.9,23.7,20.3
1984-03-19,16.5,,
1984-03-20,22.7,,
1984-03-21,13.4,20,16.7
1984-03-22,13.6,21.1,17.35
1984-03-24,16.4,23,19.7
1984-03-25,17.2,23.1,20.15
1984-03-27,12.4,,
1984-03-29,16.4,,
1984-04-03,17.9,25.4,21.65
1984-04-06,24.6,,
1984-04-12,15.4,22.8,19.1
1984-04-13,17.2,24,20.6
1984-04-14,18.2,24.9,21.55
1984-04-15,19.2,25.3,22.25
1984-04-16,26.2,,
1984-04-17,14,23.6,18.8
1984-04-19,17.5,24.6,21.05
1984-04-20,26.2,,
1984-04-21,17.6,26.4,22
1984-04-24,24.8,,
1984-04-25,17.2,22.8,20
1984-04-28,20.6,,
1984-04-30,14.2,23.8,19
1984-05-01,16,23.6,19.8
1984-05-02,15,24.2,19.6
1984-05-06,23.2,,
1984-05-08,15.4,21.5,18.45
1984-05-11,14.8,21.3,18.05
1984-05-12,16,20.5,18.25
1984-05-14,16.4,,
1984-05-15,18,,
1984-05-16,22.4,,
1984-05-19,19.2,25.8,22.5
1984-05-22,19.4,,
1984-05-23,19.2,26.5,22.85
1984-05-24,19.2,,
1984-05-25,18.5,24.9,21.7
1984-05-26,19.4,,
1984-05-27,25.5,,
1984-05-29,18,20.4,19.2
1984-06-02,22.2,27.4,24.8
1984-06-03,21.4,27.8,24.6
1984-06-04,19.8,25.9,22.85
1984-06-07,19.6,,
1984-06-08,17.1,22.2,19.65
1984-06-10,19.5,,
1984-06-11,22.8,,
1984-06-15,18.7,22.2,20.45
1984-06-16,18.4,19.8,19.1
1984-06-17,22.4,,
1984-06-18,19.4,,
1984-06-19,17,22.2,19.6
1984-06-20,17.8,23.2,20.5
1984-06-22,20.4,26.9,23.65
1984-06-23,20.2,,
1984-06-25,18.8,23.4,21.1
1984-06-28,19.7,25,22.35
1984-06-29,18.2,22.6,20.4
1984-06-30,24.3,,
1984-07-04,19.4,24.6,22
1984-07-06,19,22.8,20.9
1984-07-07,18.8,24.6,21.7
1984-07-08,18.6,21.6,20.1
1984-07-09,18.6,21.5,20.05
1984-07-10,18.4,24.2,21.3
1984-07-11,20.7,,
1984-07-12,16.8,,
1984-07-13,16.8,22.3,19.55
1984-07-14,18.1,22.9,20.5
1984-07-16,18.8,24.6,21.7
1984-07-17,17.5,23.8,20.65
1984-07-18,18,24.5,21.25
1984-07-19,18.2,23.1,20.65
1984-07-20,18.2,23.7,20.95
1984-07-22,19.2,22.7,20.95
1984-07-23,17,21.8,19.4
1984-07-25,17.9,22.2,20.05
1984-07-26,21.3,,
1984-07-30,18.8,24.5,21.65
1984-07-31,24.6,,
1984-08-04,22.7,,
1984-08-05,20.2,23.6,21.9
1984-08-07,26.3,,
1984-09-01,19.4,26.1,22.75
1984-09-02,26,,
1984-09-03,25.2,,
1984-09-04,17.4,24.1,20.75
1984-09-09,17.8,23.2,20.5
1984-09-11,17.8,23.5,20.65
1984-09-12,17.5,21.3,19.4
1984-09-13,17,,
1984-09-14,17.2,20.8,19
1984-09-15,17.8,20.7,19.25
1984-09-17,16,,
1984-09-18,16.2,20.6,18.4
1984-09-19,16.6,,
1984-09-20,16.4,21.9,19.15
1984-09-21,21.7,,
1984-09-22,17.4,22.9,20.15
1984-09-23,17.5,21.8,19.65
1984-09-24,16.7,22.4,19.55
1984-09-25,17.1,22.4,19.75
1984-09-26,16.9,22,19.45
1984-09-27,22.8,,
1984-09-28,17,22.6,19.8
1984-09-29,17.4,22.9,20.15
1984-09-30,17.9,23.1,20.5
1984-10-01,17.2,24.1,20.65
1984-10-02,17.4,26.7,22.05
1984-10-03,25.7,,
1984-10-04,16.8,23,19.9
1984-10-05,17.1,,
1984-10-07,22.9,,
1984-10-08,15.4,20.7,18.05
1984-10-09,15.7,,
1984-10-10,16,21,18.5
1984-10-11,16.2,22.2,19.2
1984-10-12,16.4,24.4,20.4
1984-10-15,16.6,24.8,20.7
1984-10-16,17.3,22.6,19.95
1984-10-18,17.2,22.7,19.95
1984-10-19,17.2,22,19.6
1984-10-20,17,21.2,19.1
1984-10-22,15.3,20.8,18.05
1984-10-23,15.7,,
1984-10-25,20.6,,
1984-10-27,15.4,20.6,18
1984-10-28,14.8,21,17.9
1984-10-29,14.8,20,17.4
1984-10-30,14,20.5,17.25
1984-11-01,13.7,19.6,16.65
1984-11-02,13.6,22.9,18.25
1984-11-03,14.3,22.7,18.5
1984-11-04,14.8,,
1984-11-06,13.4,20.5,16.95
1984-11-07,13.4,21.3,17.35
1984-11-08,13.6,21.4,17.5
1984-11-09,13.4,19.6,16.5
1984-11-10,11.3,18,14.65
1984-11-11,11,17.3,14.15
1984-11-12,11,16.6,13.8
1984-11-14,11,18.2,14.6
1984-11-15,12,18.4,15.2
1984-11-17,12.4,19.8,16.1
1984-11-19,19.3,,
1984-11-20,11.5,17.3,14.4
1984-11-21,11,,
1984-11-22,11,,
1984-11-24,10.8,19.3,15.05
1984-11-25,18.1,,
1984-11-26,10,15.9,12.95
1984-11-27,9.8,17.7,13.75
1984-11-29,10,19.2,14.6
1984-12-03,10.6,18.4,14.5
1984-12-07,10,18.4,14.2
1984-12-09,9.7,,
1984-12-11,9,15.5,12.25
1984-12-24,9,17,13
1984-12-25,9,17.4,13.2
1984-12-26,8.8,16.9,12.85
1984-12-27,7.4,13.7,10.55
1984-12-31,8,15.3,11.65
1985-01-02,15.1,,
1985-01-03,8.2,,
1985-01-04,7.3,14.3,10.8
1985-01-05,9.6,,
1985-01-06,5.4,14,9.7
1985-01-07,7,,
1985-01-13,13.3,,
1985-01-14,7,12.7,9.85
1985-01-15,6.5,11.9,9.2
1985-01-16,6.2,12.1,9.15
1985-01-17,6.5,17.2,11.85
1985-01-18,7.5,14.2,10.85
1985-01-23,7.3,16.1,11.7
