Local time in Ghorai,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
31.05.2021 17:45,30.4,695.4,750.1,-0.3,67,Wind blowing from the south,1,,,40%., ,,,,31.4,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,23.7,Trace of precipitation,9,,,,
31.05.2021 14:45,30.6,695.7,750.4,-1.0,73,Wind blowing from the west-southwest,1,,,50%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,25.3,,,,,,
31.05.2021 11:45,28.4,696.7,751.7,-0.2,72,Wind blowing from the west,4,,,"90  or more, but not 100%", ,,,,,Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,"No Cirrus, Cirrocumulus or Cirrostratus.",7.0,22.8,,,,,,
31.05.2021 08:45,27.0,696.9,751.9,0.1,80,,,,,, ,,,22.7,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",7.0,23.2,Trace of precipitation,24,,,,
31.05.2021 05:45,22.8,696.8,752.0,,95,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,6.0,22.0,,,,,,
30.05.2021 17:45,30.6,696.7,751.6,-1.2,63,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,,30.6,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,22.7,Trace of precipitation,9,,,,
30.05.2021 14:45,29.4,697.9,752.8,-0.5,68,Wind blowing from the east-southeast,1,,,50%.,Drizzle (not freezing) or snow grains not falling as shower(s). ,Drizzle.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,22.9,,,,,,
30.05.2021 11:45,29.4,698.4,754.4,-0.4,66,,,,,, ,,,,,Stratocumulus cumulogenitus.,50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.3,,,,,,
30.05.2021 08:45,24.4,698.8,754.8,0.4,84,,,,,, ,,,20.6,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,Altocumulus translucidus at a single level.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",8.0,21.6,7,24,,,,
30.05.2021 05:45,20.8,698.4,754.4,,98,"Calm, no wind",0,,,50%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,300-600,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",6.0,20.5,,,,,,
29.05.2021 17:45,23.0,698.2,754.3,-0.6,95,Wind blowing from the south,1,,,60%., ,,,,23.3,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.",6.0,22.2,7,9,,,,
29.05.2021 14:45,23.0,698.8,754.9,-0.4,92,Wind blowing from the west,1,,,"90  or more, but not 100%", ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",5.0,21.6,,,,,,
29.05.2021 11:45,21.8,699.2,755.1,0.1,96,Wind blowing from the west,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",Rain.,Rain.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus opacus or Nimbostratus.,,6.0,21.1,,,,,,
29.05.2021 08:45,21.6,699.1,754.9,1.1,96,,,,,,"Rain, not freezing, continuous, moderate at time of observation. ",Rain.,Drizzle.,21.2,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,5.0,21.0,22,24,,,,
29.05.2021 05:45,21.4,698.0,753.8,,98,,,,,,"Drizzle, not freezing, continuous, slight at time of observation. ",Drizzle.,,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6.0,21.1,,,,,,
28.05.2021 17:45,23.8,696.9,752.7,0.2,88,Wind blowing from the west,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,24.4,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,5.0,21.6,8,9,,,,
28.05.2021 14:45,23.8,696.7,752.5,-0.6,95,Wind blowing from the south-southwest,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",Rain.,Drizzle.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,4.0,23.0,,,,,,
28.05.2021 11:45,23.2,697.3,753.1,0.6,95,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Rain.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6.0,22.4,,,,,,
28.05.2021 08:45,22.6,696.7,752.5,0.4,95,"Calm, no wind",0,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,,21.5,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6.0,21.8,23,24,,,,
28.05.2021 05:45,21.6,696.3,752.1,,95,"Calm, no wind",0,,,100%., ,,,,,Stratocumulus cumulogenitus.,50%.,300-600,Altostratus translucidus.,"Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",6.0,20.8,,,,,,
27.05.2021 17:45,23.0,697.0,752.8,-0.1,95,Wind blowing from the west,1,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,Drizzle.,,23.7,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6.0,22.2,16,9,,,,
27.05.2021 14:45,23.0,697.1,752.9,-0.4,94,Wind blowing from the south-southwest,1,,,100%.,Rain (not freezing) not falling as shower(s). ,Rain.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus cumulogenitus.,50%.,300-600,Altostratus translucidus.,,7.0,21.9,,,,,,
27.05.2021 11:45,22.8,697.5,752.3,0.7,91,,,,,,"Rain, not freezing, continuous, moderate at time of observation. ",Rain.,Rain.,,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",50%.,300-600,Altostratus opacus or Nimbostratus.,,6.0,21.3,,,,,,
27.05.2021 08:45,23.2,696.8,751.6,1.0,92,Wind blowing from the east,1,,,100%.,"Rain, not freezing, continuous, slight at time of observation. ",Rain.,,23.0,,"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.",50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,7.0,21.8,4,24,,,,
27.05.2021 05:45,24.0,695.8,750.9,,86,Wind blowing from the north-east,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6.0,21.5,,,,,,
26.05.2021 17:45,29.2,694.8,749.2,-0.8,67,Wind blowing from the south-east,2,,,"90  or more, but not 100%", ,,,,32.2,Stratocumulus cumulogenitus.,50%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,22.4,No precipitation,9,,,,
26.05.2021 14:45,31.0,695.6,750.1,-0.5,60,Wind blowing from the south,2,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,22.3,,,,,,
26.05.2021 11:45,30.2,696.1,751.0,-0.3,60,Wind blowing from the east-southeast,4,,,70 – 80%., ,,,,,Stratocumulus cumulogenitus.,50%.,300-600,Altocumulus cumulogenitus (or cumulonimbogenitus).,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,21.7,,,,,,
26.05.2021 08:45,27.4,696.4,751.2,0.1,67,,,,,, ,,,21.5,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",8.0,20.7,No precipitation,24,,,,
26.05.2021 05:45,21.6,696.3,751.1,,88,"Calm, no wind",0,,,50%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.","Cirrus fibratus, sometimes uncinus, not progressively invading the sky.",6.0,19.6,,,,,,
25.05.2021 17:45,29.4,695.9,750.2,-0.3,60,Wind blowing from the east,1,,,50%., ,,,,34.0,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,"No Altocumulus, Altostratus or Nimbostratus.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7.0,20.8,No precipitation,9,,,,
25.05.2021 14:45,32.0,696.2,750.5,,55,Wind blowing from the south,4,,,60%.,"Thunderstorm, but no precipitation at the time of observation. ",Thunderstorm(s) with or without precipitation.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.",40%.,300-600,Altocumulus cumulogenitus (or cumulonimbogenitus).,"No Cirrus, Cirrocumulus or Cirrostratus.",7.0,21.9,,,,,,
25.05.2021 08:45,27.8,696.7,751.6,0.0,65,Wind blowing from the south,1,,,60%., ,,,21.3,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,8.0,20.5,No precipitation,24,,,,
25.05.2021 05:45,21.4,696.7,751.6,,87,"Calm, no wind",0,,,60%., ,,,,,"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.",no clouds,"2500 or more, or no clouds.","No Altocumulus, Altostratus or Nimbostratus.",Cirrostratus not progressively invading the sky and not entirely covering it.,6.0,19.1,,,,,,
24.05.2021 17:45,31.6,696.5,750.8,-0.9,46,Wind blowing from the west,1,,,no clouds, ,,,,34.0,,,,,,8.0,18.5,No precipitation,9,,,,
24.05.2021 14:45,33.8,697.4,751.7,,40,Wind blowing from the south,1,,,"10%  or less, but not 0", ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,18.5,,,,,,
24.05.2021 08:45,28.2,698.4,753.2,0.6,66,,,,,, ,,,21.8,,,,"2500 or more, or no clouds.",,,8.0,21.3,No precipitation,24,,,,
24.05.2021 05:45,22.0,697.8,752.8,,87,Wind blowing from the east,1,,,no clouds, ,,,,,,,,,,6.0,19.7,,,,,,
23.05.2021 17:45,32.0,696.7,751.1,-1.2,50,Wind blowing from the west,1,,,no clouds, ,,,,33.3,,,,,,10.0,20.3,No precipitation,9,,,,
23.05.2021 14:45,32.6,697.9,752.4,-1.0,48,,,,,, ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,20.1,,,,,,
23.05.2021 11:45,31.2,698.9,754.0,-0.2,53,Wind blowing from the south,1,,,40%., ,,,,,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.",20–30%.,300-600,Altocumulus translucidus at a single level.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,20.6,,,,,,
23.05.2021 08:45,26.6,699.1,754.1,1.6,73,,,,,, ,,,21.5,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,21.3,No precipitation,24,,,,
23.05.2021 05:45,21.8,697.5,752.5,,92,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,6.0,20.4,,,,,,
22.05.2021 17:45,31.4,696.6,751.3,-1.0,60,Wind blowing from the south,1,,,40%., ,,,,33.2,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",10.0,22.7,No precipitation,9,,,,
22.05.2021 14:45,32.4,697.6,752.2,-0.9,52,Wind blowing from the south-east,1,,,40%., ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",20–30%.,300-600,Altocumulus castellanus or floccus.,"No Cirrus, Cirrocumulus or Cirrostratus.",10.0,21.4,,,,,,
22.05.2021 11:45,29.3,698.5,754.1,-0.1,67,,,,,, ,,,,,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.",40%.,300-600,Altocumulus cumulogenitus (or cumulonimbogenitus).,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.5,,,,,,
22.05.2021 08:45,25.8,698.6,754.2,0.6,79,,,,,, ,,,20.5,,,,"2500 or more, or no clouds.",,,8.0,21.9,11,24,,,,
22.05.2021 05:45,20.8,698.0,753.4,,96,"Calm, no wind",0,,,no clouds, ,,,,,,,,,,6.0,20.2,,,,,,
21.05.2021 17:45,28.0,697.4,752.8,-1.4,71,,,,,, ,,,,28.4,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"No Altocumulus, Altostratus or Nimbostratus.","No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.2,11,9,,,,
21.05.2021 14:45,23.4,698.8,754.3,-0.5,94,Wind blowing from the west,1,,,"90  or more, but not 100%",Thunderstorm (with or without precipitation). ,Thunderstorm(s) with or without precipitation.,Rain.,,,Stratocumulus cumulogenitus.,50%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",7.0,22.3,,,,,,
21.05.2021 11:45,26.8,699.3,754.9,0.3,75,Wind blowing from the east,1,,,"90  or more, but not 100%", ,,,,,Stratocumulus cumulogenitus.,50%.,300-600,Altostratus opacus or Nimbostratus.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,22.1,,,,,,
21.05.2021 08:45,26.2,699.0,754.6,1.3,75,Wind blowing from the south-west,1,,,60%., ,,,21.3,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,300-600,Altocumulus castellanus or floccus.,Cirrus spissatus cumulonimbogenitus.,8.0,21.5,14,24,,,,
21.05.2021 05:45,21.6,697.7,753.3,,92,"Calm, no wind",0,,,70 – 80%., ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",20–30%.,300-600,"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.","Cirrus (often in bands) and Cirrostratus, or Cirrostratus alone, progressively invading the sky; they generally thicken as a whole; the continuous veil extends more than 45 degrees above the horizon, without the sky being totally covered.",6.0,20.2,,,,,,
20.05.2021 17:45,23.8,697.4,753.0,-0.5,88,,,,,, ,,,,26.0,"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.","10%  or less, but not 0",300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",8.0,21.6,14,9,,,,
20.05.2021 14:45,24.0,697.9,753.4,-0.9,89,Wind blowing from the east,2,,,"90  or more, but not 100%","Drizzle, not freezing, intermittent, slight at time of observation. ",Drizzle.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","No Cirrus, Cirrocumulus or Cirrostratus.",7.0,22.1,,,,,,
20.05.2021 11:45,24.6,698.8,754.4,0.9,80,Wind blowing from the south,3,,,100%.,"Thunderstorm, slight or moderate, without hail, but with rain and/or snow at time of observation. ",Thunderstorm(s) with or without precipitation.,Rain.,,,"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.",50%.,300-600,Altostratus opacus or Nimbostratus.,,8.0,21.0,,,,,,
20.05.2021 08:45,22.8,697.9,753.4,0.3,87,Wind blowing from the east,8,,,"90  or more, but not 100%",Drizzle (not freezing) or snow grains not falling as shower(s). ,Drizzle.,Drizzle.,21.0,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",50%.,300-600,Altostratus translucidus.,"No Cirrus, Cirrocumulus or Cirrostratus.",8.0,20.5,6,24,,,,
20.05.2021 05:45,21.2,697.6,753.0,,93,Wind blowing from the east,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",Drizzle.,,,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,6.0,20.1,,,,,,
19.05.2021 14:45,25.8,699.2,754.6,-0.5,78,Wind blowing from the east,1,,,"90  or more, but not 100%", ,,,,,"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.",40%.,300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.",Cirrostratus not progressively invading the sky and not entirely covering it.,7.0,21.6,,,,,,
19.05.2021 11:45,25.6,699.7,754.5,-0.1,75,Wind blowing from the south,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",Drizzle.,Drizzle.,,,"Stratus nebulosus or Stratus fractus other than of bad weather, or both.",50%.,300-600,Altostratus opacus or Nimbostratus.,,7.0,20.8,,,,,,
19.05.2021 08:45,24.0,699.8,754.6,1.3,80,Wind blowing from the east,1,,,100%.,"Drizzle, not freezing, intermittent, slight at time of observation. ",Drizzle.,,22.3,,Stratocumulus other than Stratocumulus cumulogenitus.,50%.,300-600,"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.",,7.0,20.3,Trace of precipitation,24,,,,
19.05.2021 05:45,22.6,698.5,753.4,,84,"Calm, no wind",0,,,100%., ,,,,,Stratocumulus cumulogenitus.,50%.,300-600,Altostratus translucidus.,,6.0,19.7,,,,,,
18.05.2021 17:45,28.4,698.5,753.0,-0.9,57,Wind blowing from the west,2,,,50%., ,,,,33.0,"Cumulus humilis or Cumulus fractus other than of bad weather, or both.","10%  or less, but not 0",300-600,"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.","Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.",7.0,19.0,No precipitation,9,,,,
