Local time in Darbhanga,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
20.05.2021 17:30,24.8,748.2,752.5,,98,Wind blowing from the south,2,,,70 – 80%.,Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,,,,,"2500 or more, or no clouds.",,,2.0,24.5,,,,,,
20.05.2021 08:30,25.0,750.6,754.9,,98,Wind blowing from the south,2,,,70 – 80%.,Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,24.0,,,,"2500 or more, or no clouds.",,,4.0,24.7,Trace of precipitation,24,,,,
19.05.2021 17:30,30.2,748.9,753.1,,70,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.0,,,,,,4.0,24.2,,,,,,
19.05.2021 08:30,27.8,751.0,755.3,,84,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,,,,,,,4.0,24.9,,,,,,
18.05.2021 17:30,31.6,747.9,752.1,,67,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.2,,,,,,4.0,24.8,,,,,,
18.05.2021 08:30,29.2,,755.3,,88,"Calm, no wind",0,,,50%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,27.2,,,,"2500 or more, or no clouds.",,,4.0,27.0,,,,,,
17.05.2021 08:30,29.6,,755.3,,82,Wind blowing from the south,2,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,26.4,,,,"2500 or more, or no clouds.",,,4.0,26.2,,,,,,
16.05.2021 17:30,34.2,,752.9,,59,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,37.8,,,,,,4.0,25.2,,,,,,
16.05.2021 08:30,28.4,,755.3,,89,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.2,,,,,,,4.0,26.4,,,,,,
15.05.2021 17:30,33.6,,752.2,,53,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,36.6,,,,,,4.0,22.9,,,,,,
15.05.2021 08:30,29.0,,754.2,,80,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,,,,,,,4.0,25.3,,,,,,
14.05.2021 17:30,30.2,,752.5,,80,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,34.4,,,,,,4.0,26.3,,,,,,
14.05.2021 08:30,25.0,,755.7,,85,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.2,,,,,,,4.0,22.3,,,,,,
13.05.2021 08:30,22.2,,754.6,,,Wind blowing from the east,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,21.0,,,,"2500 or more, or no clouds.",,,4.0,,13,24,,,,
12.05.2021 17:30,24.6,,752.8,,85,Wind blowing from the south,2,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,,,,"2500 or more, or no clouds.",,,4.0,21.9,,,,,,
12.05.2021 08:30,24.2,,755.8,,90,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,19.0,,,,"2500 or more, or no clouds.",,,2.0,22.4,14,24,,,,
11.05.2021 17:30,28.6,,753.4,,75,Wind blowing from the south,2,,,20–30%.,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,30.2,,,"2500 or more, or no clouds.",,,4.0,23.7,,,,,,
11.05.2021 08:30,26.2,,758.2,,86,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,19.4,,,,"2500 or more, or no clouds.",,,4.0,23.6,23,24,,,,
10.05.2021 17:30,28.0,,755.1,,74,Wind blowing from the south,2,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,28.2,,,"2500 or more, or no clouds.",,,4.0,23.0,,,,,,
10.05.2021 08:30,21.2,,758.9,,96,"Calm, no wind",0,,,100%.,Haze. ,Cloud covering more than 1/2 of the sky throughout the appropriate period.,Cloud covering more than 1/2 of the sky throughout the appropriate period.,18.0,,,,"2500 or more, or no clouds.",,,2.0,20.6,,,,,,
09.05.2021 17:30,25.6,,755.5,,82,"Calm, no wind",0,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,30.0,,,"2500 or more, or no clouds.",,,4.0,22.3,,,,,,
09.05.2021 08:30,22.4,,758.8,,90,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.6,,,,,,,2.0,20.6,,,,,,
08.05.2021 17:30,28.0,,750.4,,60,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,32.6,,,,,,4.0,19.4,,,,,,
08.05.2021 08:30,25.4,,758.0,,88,Wind blowing from the east,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.2,,,,,,,4.0,23.3,,,,,,
07.05.2021 17:30,27.4,,755.0,,86,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,30.0,,,,,,4.0,24.8,,,,,,
06.05.2021 08:30,27.0,,757.1,,80,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.4,,,,,,,4.0,23.2,,,,,,
05.05.2021 17:30,28.0,,754.8,,65,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,30.0,,,,,,4.0,20.8,,,,,,
04.05.2021 17:30,27.6,,754.9,,62,Wind blowing from the south,2,,,20–30%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,,30.2,,,"2500 or more, or no clouds.",,,4.0,19.6,,,,,,
04.05.2021 08:30,23.4,754.4,758.8,,95,Wind blowing from the south,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,22.0,,,,"2500 or more, or no clouds.",,,4.0,22.5,Trace of precipitation,24,,,,
03.05.2021 08:30,28.0,754.2,758.5,,67,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.2,,,,,,,4.0,21.4,,,,,,
02.05.2021 08:30,28.4,753.4,757.7,,65,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,,,,4.0,21.2,,,,,,
01.05.2021 17:30,33.6,750.3,754.5,,64,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,36.2,,,,,,4.0,25.8,,,,,,
30.04.2021 17:30,33.4,,752.8,,62,,,,,,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,36.4,,,"2500 or more, or no clouds.",,,4.0,25.2,,,,,,
30.04.2021 08:30,29.2,751.8,756.1,,64,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.4,,,,,,,4.0,21.8,,,,,,
29.04.2021 17:30,36.2,749.6,753.7,,42,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,37.6,,,,,,4.0,21.2,,,,,,
29.04.2021 08:30,28.4,753.4,757.7,,65,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,,,,,,,4.0,21.2,,,,,,
28.04.2021 17:30,37.2,750.3,754.4,,45,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,38.6,,,,,,4.0,23.2,,,,,,
28.04.2021 08:30,27.2,751.8,756.1,,76,Wind blowing from the west,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,,,,4.0,22.5,,,,,,
27.04.2021 08:30,29.0,,756.9,,55,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,,,,4.0,19.2,,,,,,
26.04.2021 17:30,36.2,,753.7,,45,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,37.8,,,,,,4.0,22.3,,,,,,
26.04.2021 08:30,28.0,,756.1,,57,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.0,,,,,,,4.0,18.7,,,,,,
25.04.2021 17:30,36.0,,752.8,,43,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,38.0,,,,,,4.0,21.7,,,,,,
25.04.2021 08:30,29.6,,756.1,,66,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.4,,,,,,,4.0,22.6,,,,,,
24.04.2021 17:30,35.4,,754.5,,53,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,37.2,,,,,,4.0,24.4,,,,,,
24.04.2021 08:30,27.4,,757.0,,76,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,,,,,,,4.0,22.7,,,,,,
23.04.2021 17:30,33.6,,753.7,,50,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,36.2,,,,,,4.0,21.9,,,,,,
23.04.2021 08:30,26.6,,757.1,,68,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.4,,,,,,,4.0,20.2,,,,,,
22.04.2021 08:30,22.2,,758.8,,89,Wind blowing from the north,2,,,50%.,Haze. ,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.,19.6,,,,"2500 or more, or no clouds.",,,2.0,20.3,,,,,,
21.04.2021 17:30,35.6,,754.6,,51,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,36.4,,,,,,4.0,23.9,,,,,,
21.04.2021 08:30,28.8,,756.9,,80,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,25.2,,,,,,,4.0,25.1,,,,,,
20.04.2021 08:30,28.4,751.8,756.1,,72,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,,,,,,,4.0,22.8,,,,,,
19.04.2021 17:30,36.6,749.6,753.7,,52,Wind blowing from the west,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,37.4,,,,,,4.0,25.1,,,,,,
17.04.2021 08:30,26.4,754.4,758.7,,75,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.6,,,,,,,4.0,21.6,,,,,,
16.04.2021 17:30,33.4,750.4,754.6,,57,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.6,,,,,,4.0,23.7,,,,,,
16.04.2021 08:30,28.6,752.7,757.0,,72,Wind blowing from the east,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.4,,,,,,,4.0,23.1,,,,,,
15.04.2021 17:30,37.0,749.6,753.7,,51,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,38.6,,,,,,4.0,25.3,,,,,,
15.04.2021 08:30,28.2,752.6,756.9,,70,Wind blowing from the east,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,,,,,,,4.0,22.3,,,,,,
14.04.2021 17:30,37.2,749.5,753.6,,49,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,39.2,,,,,,4.0,24.9,,,,,,
14.04.2021 08:30,27.2,753.6,757.9,,64,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.2,,,,,,,4.0,19.9,,,,,,
13.04.2021 17:30,35.6,750.4,754.6,,49,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,38.2,,,,,,4.0,23.3,,,,,,
13.04.2021 08:30,27.0,753.7,758.0,,68,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,,,,,,,4.0,20.6,,,,,,
12.04.2021 17:30,35.6,750.5,754.7,,51,Wind blowing from the east,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,38.2,,,,,,4.0,23.9,,,,,,
12.04.2021 08:30,27.4,752.8,757.1,,60,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,,,,,,,4.0,19.0,,,,,,
11.04.2021 08:30,26.4,752.9,757.2,,71,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,21.4,,,,,,,4.0,20.6,,,,,,
10.04.2021 17:30,35.4,749.8,754.0,,53,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,37.4,,,,,,4.0,24.4,,,,,,
10.04.2021 08:30,24.0,753.9,758.2,,87,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,,,,,,,4.0,21.6,,,,,,
09.04.2021 17:30,33.4,749.8,754.0,,62,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,33.6,,,,,,4.0,25.2,,,,,,
09.04.2021 08:30,22.5,752.8,757.2,,100,Wind blowing from the south,4,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,23.2,,,,,,,4.0,22.5,,,,,,
08.04.2021 08:30,28.4,753.7,758.0,,76,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,24.0,,,,,,,4.0,23.8,,,,,,
07.04.2021 08:30,27.0,753.8,758.1,,72,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,22.0,,,,,,,4.0,21.6,,,,,,
06.04.2021 17:30,34.0,750.7,754.9,,54,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,36.6,,,,,,4.0,23.4,,,,,,
06.04.2021 08:30,26.4,753.0,757.3,,74,Wind blowing from the north,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,20.2,,,,,,,4.0,21.3,,,,,,
05.04.2021 08:30,24.6,753.2,757.5,,66,Wind blowing from the south,2,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.8,,,,,,,4.0,17.9,,,,,,
04.04.2021 17:30,34.6,750.7,754.9,,55,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,37.4,,,,,,4.0,24.4,,,,,,
04.04.2021 08:30,25.4,753.1,757.4,,61,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,19.0,,,,,,,4.0,17.4,,,,,,
03.04.2021 08:30,23.2,753.1,757.5,,73,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,18.0,,,,,,,4.0,18.1,,,,,,
02.04.2021 17:30,31.2,750.0,754.2,,73,"Calm, no wind",0,,,no clouds,Haze. ,Cloud covering 1/2 or less of the sky throughout the appropriate period.,Cloud covering 1/2 or less of the sky throughout the appropriate period.,,35.6,,,,,,4.0,25.9,,,,,,
