S.N.,Districts,Winter_Alpha,Winter_Trend,PreMonsoon_Alpha,PreMonsoon_Trend,Monsoon_Alpha,Monsoon_Trend,PostMonsoon_Alpha,PostMonsoon_Trend,Annual_Alpha,Annual_Trend
41,Makwanpur,0,-0.13284,0,0.07,0,-3.96,0,-0.44,0,-5.13
42,Manang,0,0.240783,+,-0.7,**,-2.76,+,-0.52,**,-3.88
43,Morang,0,-0.0375,*,2,0,-0.67,0,-0.57,0,0.04
44,Mugu,0,0.238889,0,-0.62,0,-1.15,0,0.01,0,-1.84
45,Mustang,0,0.120606,0,-0.23,+,-0.94,0,-0.2,*,-1.16
46,Myagdi,0,-0.04308,0,-0.33,0,4.14,0,-0.6,0,2.18
47,Nawalparasi,0,0.088429,0,1.58,0,2.64,0,-0.3,0,3.72
48,Nuwakot,0,-0.13843,0,-0.09,0,-1.97,+,-0.99,0,-2.74
49,Okhaldhunga,0,-0.12804,0,0.12,0,-2.24,0,-0.47,0,-2.69
50,Palpa,0,0.005124,0,1.04,0,0.77,0,-0.51,0,0.81
51,Panchthar,0,0.227083,0,-0.33,0,-0.43,0,-0.7,0,-1.39
52,Parbat,0,0.021637,0,0.98,*,8.65,0,-0.52,*,8.8
53,Parsa,0,-0.19125,0,0.5,0,-1.53,0,-0.43,0,-1.43
54,Pyuthan,0,0.087302,0,0.21,0,-1.88,0,-0.68,0,-3.69
55,Ramechhap,0,-0.21996,*,-1.19,***,-6.67,+,-0.73,***,-9.22
56,Rasuwa,0,-0.58578,**,-1.31,0,-0.07,**,-1.04,+,-2.6
57,Rautahat,0,-0.1265,0,0.21,0,-2.16,0,-0.39,0,-1.79
58,Rolpa,0,0.031067,0,-0.48,0,-3.92,0,-0.4,*,-5.19
59,Rukum,0,-0.12381,0,-0.7,0,-2.5,0,-0.37,0,-3.8
60,Rupandehi,0,0.176389,0,0.89,0,-2.7,0,-0.42,0,-3.28
61,Salyan,0,0.083283,0,0,0,-0.51,0,-0.22,0,-1.04
62,Sankhuwasabha,0,0.003472,0,-1.14,0,-3.22,0,-0.91,0,-4.68
63,Saptari,0,-0.196,*,1.44,0,-0.92,0,-0.26,0,-0.24
64,Sarlahi,0,-0.00757,0,1.04,0,1.13,0,-0.28,0,1.23
65,Sindhuli,0,-0.2151,0,-0.37,*,-6.82,0,-0.98,*,-8.14
66,Sindhupalchok,0,-0.05833,0,-0.1,0,-0.54,0,-0.06,0,-0.19
67,Siraha,0,-0.20185,0,0.71,0,-1.76,0,-0.44,0,-1.62
68,Solukhumbu,0,-0.35813,0,-0.15,0,-3.03,*,-0.94,0,-4.36
69,Sunsari,0,-0.09722,**,2.19,0,-0.79,0,-0.2,0,0.72
70,Surkhet,0,0.203613,0,0.04,0,0.72,0,-0.41,0,0.28
71,Syangja,0,-0.10683,0,0.69,*,9.04,0,-0.53,*,8.99
72,Tanahu,0,0.030075,0,0.1,0,4.77,0,-0.18,0,3.76
73,Taplejung,0,0.248437,0,-0.33,0,-0.43,0,-0.7,0,-1.36
74,Terhathum,0,0.213393,0,0.03,0,2.54,0,-0.4,0,2.99
75,Udayapur,0,-0.21514,0,0.8,0,-3.81,0,-0.68,0,-3.35
