Local time in Dhankuta,T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
29.05.2021 11:45,26.8,659.9,-0.6,79,Wind blowing from the east-southeast,1,"90  or more, but not 100%",,,50%.,300-600,6,22.9,,
29.05.2021 08:45,21,660.5,-0.2,90,,,,17.8,,100%.,600-1000,6,19.3,30,24
29.05.2021 05:45,18,660.7,,100,,,,,,Sky obscured by fog and/or other meteorological phenomena.,,0.1,18,,
28.05.2021 17:45,18.4,659.3,-0.7,91,Wind blowing from the east,2,100%.,,19,60%.,Less than  50,4,16.9,21,9
28.05.2021 14:45,18.6,660,-0.1,98,Wind blowing from the south-southeast,1,100%.,,,100%.,Less than  50,0.1,18.3,,
28.05.2021 11:45,18.2,660.1,0.6,98,Wind blowing from the south,1,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.1,17.9,,
28.05.2021 08:45,18.8,659.5,1.1,91,Wind blowing from the east,2,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.4,17.3,35,24
28.05.2021 05:45,18.6,658.4,,95,Wind blowing from the east-northeast,1,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.6,17.7,,
27.05.2021 17:45,21,656.2,-0.7,78,Wind blowing from the north-east,1,100%.,,21,100%.,200-300,6,16.9,4,9
27.05.2021 14:45,20,656.9,,90,Wind blowing from the east,1,100%.,,,100%.,300-600,6,18.3,,
27.05.2021 08:45,19.4,656.9,,86,Wind blowing from the east-northeast,2,100%.,19,,100%.,600-1000,6,17,26,24
26.05.2021 17:45,24.8,654,-0.4,78,Wind blowing from the south-west,1,"90  or more, but not 100%",,27.5,"90  or more, but not 100%",100-200,6,20.7,5,9
26.05.2021 14:45,26.6,654.4,-1.5,77,Wind blowing from the south,1,100%.,,,100%.,50-100,6,22.3,,
26.05.2021 11:45,23.8,655.9,0,84,Wind blowing from the east,1,100%.,,,100%.,50-100,6,21,,
26.05.2021 08:45,22.6,655.9,0.6,87,,,,20,,100%.,50-100,1,20.4,0.9,24
26.05.2021 05:45,20,655.3,,93,"Calm, no wind",0,100%.,,,100%.,600-1000,6,18.9,,
25.05.2021 17:45,23.4,655,-1.6,84,"Calm, no wind",0,100%.,,24.5,60%.,200-300,6,20.6,0.3,9
25.05.2021 14:45,24.1,656.6,,81,Wind blowing from the east,1,100%.,,,100%.,200-300,5,20.6,,
25.05.2021 08:45,21.8,657.4,0.9,83,Wind blowing from the east,1,"90  or more, but not 100%",,,"90  or more, but not 100%",600-1000,6,18.7,0.2,24
25.05.2021 05:45,22,656.5,,84,"Calm, no wind",0,70 – 80%.,,,40%.,600-1000,6,19.2,,
24.05.2021 17:45,26.2,655.9,-0.9,59,"Calm, no wind",0,"10%  or less, but not 0",,30.6,"10%  or less, but not 0",600-1000,4,17.6,No precipitation,9
24.05.2021 14:45,28.7,656.8,,67,Wind blowing from the south,1,50%.,,,50%.,200-300,4,21.9,,
24.05.2021 08:45,28.6,658.5,0.3,64,,,,20.4,,,"2500 or more, or no clouds.",6,21.2,No precipitation,24
24.05.2021 05:45,21.2,658.2,,87,"Calm, no wind",0,50%.,,,"10%  or less, but not 0",600-1000,6,18.9,,
23.05.2021 17:45,24.8,656.2,-0.7,72,Wind blowing from the west,1,"10%  or less, but not 0",,30,"10%  or less, but not 0",600-1000,5,19.5,No precipitation,9
23.05.2021 14:45,28.6,656.9,-1.4,67,,,,,,20–30%.,300-600,5,21.8,,
23.05.2021 11:45,29.4,658.3,0.1,63,Wind blowing from the west,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,5,21.5,,
23.05.2021 08:45,27.4,658.2,0.6,64,,,,19.4,,"10%  or less, but not 0",600-1000,6,19.9,No precipitation,24
23.05.2021 05:45,19.6,657.6,,78,"Calm, no wind",0,40%.,,,"10%  or less, but not 0",600-1000,6,15.7,,
22.05.2021 17:45,24,656,-1.4,68,"Calm, no wind",0,"10%  or less, but not 0",,28.1,"10%  or less, but not 0",600-1000,6,17.6,No precipitation,9
22.05.2021 14:45,27.8,657.4,-0.7,62,Wind blowing from the west,1,20–30%.,,,20–30%.,300-600,6,19.9,,
22.05.2021 11:45,27,658.1,-0.1,68,,,,,,20–30%.,200-300,6,20.5,,
22.05.2021 08:45,25.8,658.2,0.8,73,,,,18.5,,20–30%.,600-1000,7,20.5,1,24
22.05.2021 05:45,19,657.4,,98,"Calm, no wind",0,20–30%.,,,"10%  or less, but not 0",50-100,7,18.7,,
21.05.2021 17:45,22.6,656.5,-0.9,87,,,,,27.5,50%.,Less than  50,6,20.4,0.9,9
21.05.2021 14:45,26.8,657.4,-2.1,69,Wind blowing from the south,1,60%.,,,60%.,300-600,6,20.7,,
21.05.2021 11:45,23.2,659.5,-0.3,90,Wind blowing from the south-southwest,1,100%.,,,100%.,100-200,2,21.4,,
21.05.2021 08:45,21,659.8,1.6,96,Wind blowing from the south-southwest,1,100%.,19.4,,100%.,Less than  50,0.6,20.4,8,24
21.05.2021 05:45,19.6,658.2,,96,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",600-1000,6,19,,
20.05.2021 17:45,22,657,-1.9,90,,,,,24.6,50%.,Less than  50,6,20.3,6,9
20.05.2021 14:45,21.8,658.9,-0.5,88,Wind blowing from the south,1,100%.,,,100%.,Less than  50,1,19.8,,
20.05.2021 11:45,21,659.4,1.1,91,Wind blowing from the south-southwest,1,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.6,19.4,,
20.05.2021 08:45,24.6,658.3,1.5,75,Wind blowing from the south-southwest,1,"90  or more, but not 100%",19.5,,50%.,600-1000,6,19.8,1,24
20.05.2021 05:45,19.8,656.8,,93,Wind blowing from the north-northwest,1,70 – 80%.,,,40%.,600-1000,6,18.7,,
19.05.2021 14:45,26.6,656.8,-1.3,76,Wind blowing from the south-southwest,1,"90  or more, but not 100%",,,50%.,200-300,3,22,,
19.05.2021 11:45,24.1,658.1,0,70,Wind blowing from the south-southwest,1,"90  or more, but not 100%",,,"90  or more, but not 100%",200-300,3,18.2,,
19.05.2021 08:45,26.2,658.1,0.7,73,Wind blowing from the west,1,60%.,19.5,,60%.,200-300,2,21,Trace of precipitation,24
19.05.2021 05:45,19.6,657.4,,95,"Calm, no wind",0,50%.,,,"10%  or less, but not 0",Less than  50,2,18.7,,
18.05.2021 17:45,22.4,656.7,-1.3,95,Wind blowing from the south-west,1,100%.,,27.2,100%.,Less than  50,0.8,21.6,Trace of precipitation,9
18.05.2021 14:45,25.1,658,-0.9,76,Wind blowing from the west,1,"90  or more, but not 100%",,,"90  or more, but not 100%",100-200,2,20.5,,
18.05.2021 11:45,24.9,658.9,0.1,80,,,,,,100%.,100-200,3,21.2,,
18.05.2021 08:45,25,658.8,-0.1,78,Wind blowing from the west,1,70 – 80%.,21,,70 – 80%.,Less than  50,1,20.9,No precipitation,24
18.05.2021 05:45,21.2,658.9,,93,"Calm, no wind",0,"90  or more, but not 100%",,,50%.,Less than  50,0.8,20.1,,
17.05.2021 17:45,22.4,657.8,-1.2,84,,,,,28,60%.,200-300,3,19.6,No precipitation,9
17.05.2021 14:45,26.4,659,-0.8,72,,,,,,60%.,300-600,3,20.9,,
17.05.2021 11:45,26.2,659.8,0.1,72,,,,,,60%.,300-600,4,20.7,,
17.05.2021 08:45,23.2,659.7,0.6,92,Wind blowing from the south,1,60%.,19.5,,60%.,Less than  50,1,21.8,No precipitation,24
17.05.2021 05:45,19.8,659.1,,95,"Calm, no wind",0,40%.,,,"10%  or less, but not 0",Less than  50,1,18.9,,
16.05.2021 17:45,23.8,657.8,-0.8,75,"Calm, no wind",0,40%.,,27.8,40%.,300-600,6,19,No precipitation,9
16.05.2021 14:45,27,658.6,-1.4,67,Wind blowing from the west,1,50%.,,,50%.,300-600,6,20.4,,
16.05.2021 11:45,26.7,660,-0.3,61,Wind blowing from the south,1,60%.,,,60%.,300-600,6,18.6,,
16.05.2021 08:45,25.6,660.3,1.4,69,Wind blowing from the south-southeast,1,20–30%.,18.5,,20–30%.,600-1000,6,19.4,No precipitation,24
16.05.2021 05:45,19,658.9,,91,"Calm, no wind",0,20–30%.,,,"10%  or less, but not 0",600-1000,6,17.5,,
15.05.2021 17:45,23,656.8,-1,74,,,,,28,40%.,300-600,6,18.1,No precipitation,9
15.05.2021 14:45,25.8,657.8,-0.8,65,Wind blowing from the south,1,50%.,,,50%.,300-600,6,18.7,,
15.05.2021 11:45,26.4,658.6,0,62,Wind blowing from the south,1,50%.,,,50%.,300-600,6,18.6,,
15.05.2021 08:45,24.2,658.6,1.4,72,Wind blowing from the south,1,20–30%.,17,,20–30%.,600-1000,6,18.8,No precipitation,24
15.05.2021 05:45,17.2,657.2,,96,,,,,,"10%  or less, but not 0",600-1000,6,16.6,,
14.05.2021 17:45,20.8,654.6,-1.4,80,Wind blowing from the west,1,"90  or more, but not 100%",,25.9,"90  or more, but not 100%",200-300,6,17.3,No precipitation,9
14.05.2021 14:45,23.3,656,-1.5,70,,,,,,"90  or more, but not 100%",300-600,6,17.5,,
14.05.2021 11:45,22.6,657.5,-0.3,75,Wind blowing from the south,1,70 – 80%.,,,70 – 80%.,300-600,6,18,,
14.05.2021 08:45,23,657.8,0.8,74,Wind blowing from the south,1,50%.,16,,50%.,Less than  50,6,18.1,2,24
14.05.2021 05:45,16.4,657,,96,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",Less than  50,0.8,15.8,,
13.05.2021 17:45,19.8,656,-0.9,83,"Calm, no wind",0,"10%  or less, but not 0",,24.6,"10%  or less, but not 0",600-1000,6,16.9,0.3,9
13.05.2021 14:45,21,656.9,-1.7,84,,,,,,"90  or more, but not 100%",600-1000,6,18.1,,
13.05.2021 11:45,19.2,658.6,0,92,Wind blowing from the south,1,100%.,,,100%.,200-300,6,17.9,,
13.05.2021 08:45,20,658.6,0.7,85,Wind blowing from the east,1,"90  or more, but not 100%",15,,60%.,300-600,6,17.4,3,24
13.05.2021 05:45,16,657.9,,98,,,,,,100%.,50-100,6,15.7,,
12.05.2021 17:45,17.4,656.2,-0.7,89,Wind blowing from the north,1,"90  or more, but not 100%",,24.3,60%.,50-100,6,15.6,3,9
12.05.2021 14:45,20.2,656.9,-1.1,80,Wind blowing from the south,1,100%.,,,100%.,50-100,6,16.7,,
12.05.2021 11:45,20.7,658,-0.5,84,,,,,,100%.,50-100,6,17.8,,
12.05.2021 08:45,20.6,658.5,0.6,77,Wind blowing from the south,1,100%.,15.5,,50%.,200-300,4,16.5,3,24
12.05.2021 05:45,16,657.9,,96,"Calm, no wind",0,70 – 80%.,,,70 – 80%.,Less than  50,0.8,15.4,,
11.05.2021 17:45,20.2,656.2,,84,Wind blowing from the west-southwest,1,60%.,,24.8,50%.,300-600,2,17.3,0.5,9
11.05.2021 11:45,22.6,658.6,-0.7,69,Wind blowing from the south-southwest,1,"90  or more, but not 100%",,,"90  or more, but not 100%",300-600,6,16.7,,
11.05.2021 08:45,22,659.3,1.3,75,Wind blowing from the south,1,50%.,16.4,,50%.,300-600,6,17.3,No precipitation,24
11.05.2021 05:45,16.8,658,,89,,,,,,"10%  or less, but not 0",300-600,6,15,,
10.05.2021 17:45,22,656.8,-1.5,62,Wind blowing from the west,1,20–30%.,,25,20–30%.,300-600,6,14.4,Trace of precipitation,9
10.05.2021 14:45,24.7,658.3,-1.4,62,Wind blowing from the south,2,60%.,,,"10%  or less, but not 0",300-600,6,17,,
10.05.2021 11:45,19.3,659.7,-0.4,84,Wind blowing from the west-northwest,1,"90  or more, but not 100%",,,"90  or more, but not 100%",300-600,5,16.5,,
10.05.2021 08:45,21,660.1,,79,Wind blowing from the south,1,"90  or more, but not 100%",16,,"90  or more, but not 100%",300-600,5,17.2,3,24
10.05.2021 05:45,16.4,658.8,,91,Wind blowing from the west-northwest,1,70 – 80%.,,,50%.,300-600,5,14.9,,
09.05.2021 17:45,18.4,657.7,-1.3,91,Wind blowing from the west-northwest,1,70 – 80%.,,26.5,70 – 80%.,300-600,3,16.9,2,9
09.05.2021 14:45,21.8,659,-1.6,78,Wind blowing from the south,1,"90  or more, but not 100%",,,70 – 80%.,300-600,6,17.7,,
09.05.2021 11:45,23.9,660.6,-0.4,79,Wind blowing from the south-southwest,1,70 – 80%.,,,20–30%.,300-600,6,20,,
09.05.2021 08:45,18.4,661,0.2,79,"Calm, no wind",0,"90  or more, but not 100%",15,,60%.,300-600,6,14.7,3,24
09.05.2021 05:45,15,660.8,,94,Wind blowing from the south-east,1,50%.,,,20–30%.,200-300,6,14.1,,
08.05.2021 14:45,25.6,660.1,-1.8,64,Wind blowing from the south,1,50%.,,,50%.,600-1000,6,18.2,,
08.05.2021 11:45,23.8,661.9,-0.4,64,Wind blowing from the south-southwest,1,50%.,,,50%.,600-1000,6,16.5,,
08.05.2021 08:45,22,662.3,1.3,76,Wind blowing from the south,1,70 – 80%.,16.3,,20–30%.,600-1000,6,17.6,6,24
08.05.2021 05:45,16.4,661,,87,Wind blowing from the north,1,60%.,,,"10%  or less, but not 0",300-600,6,14.2,,
07.05.2021 17:45,18.4,659.5,-2.9,81,Wind blowing from the west,1,40%.,,25.3,20–30%.,Less than  50,6,15.1,5,9
07.05.2021 14:45,17,662.4,-0.4,94,,,,,,100%.,300-600,6,16.1,,
07.05.2021 11:45,23.8,662.8,0.3,75,Wind blowing from the south-west,1,100%.,,,20–30%.,100-200,2,19.1,,
07.05.2021 08:45,20.8,662.5,1.5,81,,,,16.5,,"10%  or less, but not 0",300-600,6,17.4,3,24
07.05.2021 05:45,16.7,661,,93,Wind blowing from the south,1,40%.,,,"10%  or less, but not 0",300-600,6,15.5,,
06.05.2021 17:45,18.8,660.1,-1.3,93,"Calm, no wind",0,20–30%.,,24.5,20–30%.,Less than  50,4,17.6,3,9
06.05.2021 14:45,20.2,661.4,-0.8,87,"Calm, no wind",0,100%.,,,40%.,100-200,2,17.9,,
06.05.2021 11:45,21.6,662.2,0,78,Wind blowing from the south,1,100%.,,,100%.,100-200,2,17.5,,
06.05.2021 08:45,21.2,662.2,1.5,88,Wind blowing from the south,1,100%.,17.4,,20–30%.,Less than  50,0.9,19.1,4,24
06.05.2021 05:45,17.4,660.7,,98,Wind blowing from the south-southwest,1,100%.,,,100%.,50-100,4,17,,
05.05.2021 17:45,20.2,658.9,-0.9,84,Wind blowing from the west,1,60%.,,24.5,60%.,300-600,6,17.3,No precipitation,9
05.05.2021 14:45,22.2,659.8,-1.5,72,Wind blowing from the south,1,70 – 80%.,,,70 – 80%.,200-300,6,16.9,,
05.05.2021 11:45,24.1,661.3,-0.3,70,Wind blowing from the south-southwest,1,70 – 80%.,,,20–30%.,200-300,6,18.2,,
05.05.2021 08:45,19.2,661.6,0.7,89,Wind blowing from the south,1,100%.,16.2,,100%.,Less than  50,0.9,17.4,2,24
05.05.2021 05:45,16.4,660.9,,96,"Calm, no wind",0,100%.,,,70 – 80%.,Less than  50,0.9,15.8,,
04.05.2021 17:45,18.4,659.2,-1.2,91,"Calm, no wind",0,"90  or more, but not 100%",,20,"90  or more, but not 100%",Less than  50,3,16.9,Trace of precipitation,9
04.05.2021 14:45,19.7,660.4,,83,Wind blowing from the east,1,100%.,,,100%.,50-100,6,16.7,,
04.05.2021 08:45,18.4,660.8,1.3,93,,,,16,,Sky obscured by fog and/or other meteorological phenomena.,,0.6,17.2,37,24
04.05.2021 05:45,16.8,659.5,,98,"Calm, no wind",0,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.4,16.5,,
03.05.2021 17:45,21.4,657.2,-1.4,78,Wind blowing from the west,1,60%.,,26.6,20–30%.,300-600,4,17.3,No precipitation,9
03.05.2021 14:45,24.7,658.6,-1.7,64,Wind blowing from the west-southwest,1,60%.,,,60%.,300-600,4,17.3,,
03.05.2021 11:45,23.6,660.3,-0.3,63,Wind blowing from the south,1,100%.,,,100%.,600-1000,5,16.2,,
03.05.2021 08:45,24,660.6,0.7,63,Wind blowing from the south,1,70 – 80%.,17.5,,70 – 80%.,600-1000,6,16.4,0.3,24
03.05.2021 05:45,18,659.9,,79,"Calm, no wind",0,100%.,,,100%.,600-1000,6,14.3,,
02.05.2021 17:45,21.6,658.2,-2.8,62,"Calm, no wind",0,60%.,,26,20–30%.,300-600,6,14,Trace of precipitation,9
02.05.2021 14:45,25.5,661,-1.6,57,Wind blowing from the south,1,"90  or more, but not 100%",,,20–30%.,300-600,6,16.3,,
02.05.2021 11:45,24.5,662.6,,64,Wind blowing from the south-southwest,1,100%.,,,70 – 80%.,200-300,6,17.3,,
02.05.2021 05:45,17.6,661.4,,82,,,,,,100%.,600-1000,6,14.5,,
01.05.2021 17:45,22.6,659.7,-0.8,67,,,,,27,40%.,200-300,6,16.1,0.6,9
01.05.2021 14:45,26.5,660.5,-1.7,53,Wind blowing from the south,1,70 – 80%.,,,"10%  or less, but not 0",200-300,6,16.1,,
01.05.2021 11:45,20.2,662.2,-0.1,77,,,,,,100%.,200-300,6,16,,
01.05.2021 08:45,16.6,662.3,1.6,85,"Calm, no wind",0,100%.,16.3,,100%.,300-600,3,14.1,3,24
01.05.2021 05:45,17.2,660.7,,85,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",600-1000,5,14.7,,
30.04.2021 17:45,24.2,659.6,-0.5,56,Wind blowing from the west,1,"90  or more, but not 100%",,29.4,60%.,300-600,6,14.9,No precipitation,9
30.04.2021 14:45,27.4,660.1,-1.7,46,Wind blowing from the south,1,"90  or more, but not 100%",,,"90  or more, but not 100%",200-300,7,14.9,,
30.04.2021 11:45,27.8,661.8,-0.4,50,,,,,,"90  or more, but not 100%",200-300,7,16.3,,
30.04.2021 08:45,20,662.2,0.8,66,Wind blowing from the west,1,"90  or more, but not 100%",16.2,,"90  or more, but not 100%",300-600,7,13.5,Trace of precipitation,24
30.04.2021 05:45,16.8,661.4,,73,"Calm, no wind",0,"90  or more, but not 100%",,,"90  or more, but not 100%",300-600,7,12,,
29.04.2021 17:45,24.2,659.8,-1,69,Wind blowing from the west,1,60%.,,28.6,40%.,300-600,6,18.2,No precipitation,9
29.04.2021 14:45,27.4,660.8,,51,Wind blowing from the south-west,1,20–30%.,,,20–30%.,100-200,6,16.3,,
29.04.2021 08:45,21.8,663.5,1.3,69,Wind blowing from the south-east,1,60%.,15.4,,60%.,300-600,7,15.8,11,24
29.04.2021 05:45,15.6,662.2,,85,,,,,,50%.,300-600,7,13.1,,
28.04.2021 17:45,23.2,660.1,-0.7,52,Wind blowing from the east,1,"90  or more, but not 100%",,29.7,60%.,300-600,3,12.8,No precipitation,9
28.04.2021 14:45,28,660.8,-1.7,54,Wind blowing from the south,1,50%.,,,50%.,50-100,3,17.7,,
28.04.2021 11:45,28.6,662.5,-0.3,50,,,,,,20–30%.,100-200,2,17.1,,
28.04.2021 08:45,25.6,662.8,1.5,50,Wind blowing from the south,1,"10%  or less, but not 0",18.5,,"10%  or less, but not 0",Less than  50,2,14.5,No precipitation,24
28.04.2021 05:45,19,661.3,,64,Wind blowing from the north-northwest,1,no clouds,,,,,6,12,,
27.04.2021 17:45,26.4,660.3,,55,Wind blowing from the south,1,70 – 80%.,,30.4,"10%  or less, but not 0",300-600,6,16.7,No precipitation,9
27.04.2021 14:45,28.8,660.1,-2,37,Wind blowing from the south-southwest,2,"90  or more, but not 100%",,,"10%  or less, but not 0",200-300,6,12.6,,
27.04.2021 11:45,29.2,662.1,0.5,38,Wind blowing from the east,1,60%.,,,no clouds,"2500 or more, or no clouds.",6,13.5,,
27.04.2021 08:45,24.8,661.6,1.2,50,Wind blowing from the east,1,70 – 80%.,18,,,"2500 or more, or no clouds.",6,13.5,No precipitation,24
27.04.2021 05:45,18.1,660.4,,69,Wind blowing from the south,1,60%.,,,no clouds,"2500 or more, or no clouds.",6,12.2,,
26.04.2021 17:45,27.1,658.4,-1.1,40,Wind blowing from the west-southwest,1,"10%  or less, but not 0",,31.5,"10%  or less, but not 0",300-600,6,12.5,No precipitation,9
26.04.2021 14:45,29.9,659.5,-1.5,29,Wind blowing from the west,2,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,6,9.8,,
26.04.2021 11:45,30.2,661,0.6,39,Wind blowing from the south,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,6,14.7,,
26.04.2021 08:45,25.6,660.4,0.6,49,"Calm, no wind",0,no clouds,17.3,,,,6,14.1,No precipitation,24
26.04.2021 05:45,17.3,659.8,,75,Wind blowing from the south-southwest,1,no clouds,,,,,6,12.7,,
25.04.2021 17:45,24.6,658.9,-1,59,Wind blowing from the south-southwest,1,20–30%.,,29.5,"10%  or less, but not 0",300-600,6,16.1,No precipitation,9
25.04.2021 14:45,27.5,659.9,-1.1,49,Wind blowing from the south-southwest,1,70 – 80%.,,,20–30%.,300-600,6,15.9,,
25.04.2021 11:45,28.6,661,-0.3,47,Wind blowing from the west-southwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,6,16.2,,
25.04.2021 08:45,25,661.3,1.2,59,Wind blowing from the south-southwest,1,no clouds,16.5,,,,7,16.5,No precipitation,24
25.04.2021 05:45,17,660.1,,81,Wind blowing from the south-west,1,no clouds,,,,,7,13.6,,
24.04.2021 17:45,23.2,658.8,-0.6,57,Wind blowing from the north,1,"10%  or less, but not 0",,29.1,"10%  or less, but not 0",600-1000,6,14.1,No precipitation,9
24.04.2021 14:45,27.7,659.4,-1.4,50,Wind blowing from the west-southwest,1,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,6,16.2,,
24.04.2021 11:45,27.8,660.8,0,47,,,,,,"10%  or less, but not 0",300-600,6,15.4,,
24.04.2021 08:45,24,660.8,1.4,54,,,,15.5,,,"2500 or more, or no clouds.",8,14,No precipitation,24
24.04.2021 05:45,16,659.4,,74,,,,,,,"2500 or more, or no clouds.",8,11.4,,
23.04.2021 17:45,22.4,659.1,-0.2,51,Wind blowing from the south-west,1,"10%  or less, but not 0",,27.3,no clouds,"2500 or more, or no clouds.",8,11.7,No precipitation,9
23.04.2021 14:45,26,659.3,-1,49,Wind blowing from the west-southwest,2,20–30%.,,,"10%  or less, but not 0",1000-1500,8,14.3,,
23.04.2021 11:45,25.8,660.3,-0.2,44,Wind blowing from the south-southwest,1,20–30%.,,,"10%  or less, but not 0",600-1000,8,12.5,,
23.04.2021 08:45,20.3,660.5,1,59,Wind blowing from the east,1,"10%  or less, but not 0",12,,no clouds,"2500 or more, or no clouds.",8,11.9,8,24
23.04.2021 05:45,12,659.5,,92,Wind blowing from the west,1,"10%  or less, but not 0",,,no clouds,"2500 or more, or no clouds.",8,10.7,,
22.04.2021 17:45,17,660.4,-1.5,81,"Calm, no wind",0,50%.,,18.4,20–30%.,100-200,6,13.6,8,9
22.04.2021 14:45,15.6,661.9,,90,Wind blowing from the south,1,100%.,,,100%.,100-200,6,13.9,,
21.04.2021 17:45,23.4,659.8,,61,Wind blowing from the west,1,40%.,,28.5,"10%  or less, but not 0",300-600,5,15.3,No precipitation,9
21.04.2021 11:45,27.8,661.8,0.6,48,"Calm, no wind",0,70 – 80%.,,,20–30%.,200-300,3,15.8,,
21.04.2021 08:45,23,661.2,1.1,58,Wind blowing from the east,1,"10%  or less, but not 0",16.3,,no clouds,"2500 or more, or no clouds.",3,14.2,No precipitation,24
21.04.2021 05:45,16.1,660.1,,91,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,3,14.7,,
20.04.2021 17:45,23,658,,67,Wind blowing from the east,1,20–30%.,,29.2,20–30%.,300-600,5,16.5,No precipitation,9
20.04.2021 14:45,26.8,658,,54,Wind blowing from the west-southwest,2,50%.,,,50%.,300-600,5,16.6,,
20.04.2021 11:45,28.2,659.3,,45,Wind blowing from the south,2,20–30%.,,,20–30%.,300-600,6,15.2,,
20.04.2021 05:45,16.2,658,,71,"Calm, no wind",0,no clouds,,,,,6,11,,
19.04.2021 17:45,22.5,656.8,-0.5,61,Wind blowing from the east,1,"10%  or less, but not 0",,28,"10%  or less, but not 0",300-600,6,14.5,No precipitation,9
19.04.2021 14:45,25.6,657.3,,55,Wind blowing from the south,1,50%.,,,50%.,300-600,6,15.9,,
19.04.2021 08:45,23,659.2,0.7,60,Wind blowing from the south-southeast,1,no clouds,14.5,,,,7,14.9,No precipitation,24
19.04.2021 05:45,14.6,658.5,,85,"Calm, no wind",0,no clouds,,,,,7,12,,
18.04.2021 17:45,20.1,658,-1.7,74,Wind blowing from the west,2,40%.,,26.5,40%.,300-600,6,15.4,No precipitation,9
