Local time in Pokhara (airport),T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
30.05.2021 14:45,31.4,685,-1.9,55,Wind blowing from the east,2,20–30%.,,,20–30%.,600-1000,10,21.4,,
30.05.2021 11:45,29.2,686.9,-0.8,64,,,,,,20–30%.,600-1000,10,21.8,,
30.05.2021 08:45,22.2,687.7,0.6,84,,,,18.6,,"10%  or less, but not 0",600-1000,9,19.3,15,24
30.05.2021 05:45,18.8,687.1,,96,Wind blowing from the south-east,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,8,18.2,,
29.05.2021 17:45,25.2,686.2,-1.5,79,Wind blowing from the east-northeast,1,40%.,,25.9,20–30%.,600-1000,10,21.3,15,9
29.05.2021 14:45,23.1,687.7,-2.1,83,Wind blowing from the north-west,4,"90  or more, but not 100%",,,50%.,300-600,10,20,,
29.05.2021 11:45,20.8,689.8,0.9,98,Wind blowing from the west-northwest,3,100%.,,,70 – 80%.,200-300,3,20.5,,
29.05.2021 08:45,19.8,688.9,0.6,98,,,,19.4,,70 – 80%.,200-300,3,19.5,88,24
29.05.2021 05:45,19.6,688.3,,100,,,,,,70 – 80%.,50-100,1,19.6,,
28.05.2021 17:45,21.1,686.8,0.6,99,Wind blowing from the south-southeast,1,100%.,,23,70 – 80%.,50-100,1,21,23,9
28.05.2021 14:45,22,686.2,0,96,Wind blowing from the west-southwest,1,100%.,,,60%.,50-100,4,21.3,,
28.05.2021 11:45,22.6,686.2,0.3,94,Wind blowing from the west,2,100%.,,,50%.,100-200,6,21.5,,
28.05.2021 08:45,21.8,685.9,1.6,98,Wind blowing from the north-west,1,100%.,21,,60%.,50-100,6,21.5,27,24
28.05.2021 05:45,21.2,684.3,,98,"Calm, no wind",0,100%.,,,60%.,100-200,8,20.9,,
27.05.2021 17:45,22.6,684.7,0.1,96,Wind blowing from the north-west,2,100%.,,24.5,60%.,50-100,4,21.9,13,9
27.05.2021 14:45,23,684.6,-1.3,96,Wind blowing from the west-northwest,3,100%.,,,60%.,100-200,4,22.3,,
27.05.2021 11:45,22.5,685.9,0.3,92,,,,,,60%.,100-200,5,21.2,,
27.05.2021 08:45,21.6,685.6,1.2,98,Wind blowing from the east-southeast,1,100%.,20.9,,60%.,50-100,2,21.3,42,24
27.05.2021 05:45,21.2,684.4,,98,Wind blowing from the north-west,3,100%.,,,60%.,100-200,4,20.9,,
26.05.2021 17:45,23,683.8,-0.3,90,Wind blowing from the south,2,"90  or more, but not 100%",,28.8,50%.,300-600,8,21.3,Trace of precipitation,9
26.05.2021 14:45,27.8,684.1,-0.9,66,Wind blowing from the east-southeast,4,"90  or more, but not 100%",,,50%.,600-1000,10,20.9,,
26.05.2021 11:45,27.4,685,-0.3,69,Wind blowing from the south-east,3,"90  or more, but not 100%",,,50%.,600-1000,10,21.3,,
26.05.2021 08:45,25,685.3,1.2,76,,,,20.9,,40%.,300-600,10,20.5,0.7,24
26.05.2021 05:45,21.4,684.1,,93,Wind blowing from the west-southwest,2,"90  or more, but not 100%",,,50%.,600-1000,8,20.3,,
25.05.2021 17:45,24.2,684.1,-1.8,88,Wind blowing from the east-southeast,2,60%.,,33,20–30%.,300-600,10,22,0.7,9
25.05.2021 14:45,23.4,685.9,,86,Wind blowing from the north-east,2,100%.,,,50%.,300-600,8,20.9,,
25.05.2021 08:45,28.8,685.5,0.8,61,Wind blowing from the east-southeast,1,20–30%.,23,,20–30%.,600-1000,10,20.6,No precipitation,24
25.05.2021 05:45,23.4,684.7,,86,Wind blowing from the north-west,1,40%.,,,40%.,600-1000,10,21,,
24.05.2021 17:45,32.1,683.5,-0.9,49,Wind blowing from the south-southeast,4,20–30%.,,34.7,"10%  or less, but not 0",600-1000,12,20,No precipitation,9
24.05.2021 14:45,33.9,684.4,,37,Wind blowing from the south,3,40%.,,,40%.,600-1000,12,17.1,,
24.05.2021 08:45,28.5,687.4,0.8,66,,,,22.8,,"10%  or less, but not 0",600-1000,12,21.6,No precipitation,24
24.05.2021 05:45,23,686.6,,86,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,12,20.5,,
23.05.2021 17:45,30.9,684,-0.7,60,Wind blowing from the south-southeast,3,40%.,,33.5,40%.,600-1000,10,22.2,No precipitation,9
23.05.2021 14:45,32.6,684.7,-2.2,52,,,,,,40%.,600-1000,10,21.6,,
23.05.2021 11:45,31,686.9,-0.9,60,Wind blowing from the east,4,40%.,,,40%.,600-1000,12,22.3,,
23.05.2021 08:45,28.2,687.8,1.2,64,,,,21,,"10%  or less, but not 0",600-1000,10,20.7,0.6,24
23.05.2021 05:45,21,686.6,,95,Wind blowing from the north,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,20.1,,
22.05.2021 17:45,30.8,683.6,-1.2,58,Wind blowing from the south-east,3,20–30%.,,33.3,20–30%.,600-1000,10,21.5,No precipitation,9
22.05.2021 14:45,31.2,684.8,-2,57,Wind blowing from the south-east,4,20–30%.,,,20–30%.,600-1000,10,21.6,,
22.05.2021 11:45,30.2,686.8,-0.3,60,,,,,,20–30%.,600-1000,10,21.7,,
22.05.2021 08:45,26.8,687.1,,73,,,,21,,20–30%.,600-1000,10,21.5,No precipitation,24
21.05.2021 17:45,29.4,684.7,-1.1,60,,,,,30.8,20–30%.,600-1000,10,20.8,No precipitation,9
21.05.2021 14:45,30.4,685.8,,51,Wind blowing from the south-southeast,3,20–30%.,,,20–30%.,600-1000,10,19.2,,
21.05.2021 08:45,23.4,688.6,1.5,81,Wind blowing from the south-southeast,3,40%.,18,,20–30%.,300-600,9,20,7,24
21.05.2021 05:45,18,687.1,,98,"Calm, no wind",0,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,1,17.7,,
20.05.2021 17:45,22,687.1,0.2,94,,,,,24.4,70 – 80%.,300-600,6,21,7,9
20.05.2021 14:45,21.9,686.9,-1.6,94,Wind blowing from the north-northeast,3,"90  or more, but not 100%",,,60%.,100-200,5,20.8,,
20.05.2021 11:45,21.8,688.5,0.6,94,Wind blowing from the north-northwest,2,100%.,,,60%.,100-200,4,20.7,,
20.05.2021 08:45,22.2,687.9,1.9,81,Wind blowing from the east,3,"90  or more, but not 100%",20,,50%.,600-1000,7,18.7,2,24
20.05.2021 05:45,20.4,686,,96,Wind blowing from the west,2,"90  or more, but not 100%",,,40%.,600-1000,10,19.8,,
19.05.2021 14:45,26.5,687.3,-1.3,68,Wind blowing from the south,1,100%.,,,50%.,600-1000,9,20.2,,
19.05.2021 11:45,25.2,688.6,0.2,75,Wind blowing from the west,1,100%.,,,50%.,600-1000,10,20.4,,
19.05.2021 08:45,22.9,688.4,1.5,86,Wind blowing from the west,1,"90  or more, but not 100%",21,,50%.,600-1000,10,20.5,0.2,24
19.05.2021 05:45,21.5,686.9,,89,Wind blowing from the west-southwest,1,"90  or more, but not 100%",,,50%.,300-600,10,19.6,,
18.05.2021 17:45,27.6,686.2,-1.4,64,Wind blowing from the east-southeast,2,60%.,,29.4,20–30%.,600-1000,10,20.3,0.2,9
18.05.2021 14:45,28.4,687.6,-1.2,64,Wind blowing from the east-southeast,2,70 – 80%.,,,40%.,600-1000,10,20.9,,
18.05.2021 11:45,25.6,688.8,-0.4,78,,,,,,40%.,300-600,8,21.4,,
18.05.2021 08:45,22.4,689.2,0.8,92,"Calm, no wind",0,100%.,22,,50%.,300-600,8,21,2,24
18.05.2021 05:45,22.6,688.4,,90,Wind blowing from the north-west,2,100%.,,,50%.,300-600,7,20.9,,
17.05.2021 17:45,28.2,686.9,-0.5,66,,,,,31.4,40%.,600-1000,10,21.3,No precipitation,9
17.05.2021 14:45,29,687.4,-1.5,62,,,,,,40%.,600-1000,10,21,,
17.05.2021 11:45,30.2,688.9,-0.3,54,,,,,,20–30%.,600-1000,10,19.8,,
17.05.2021 08:45,25.1,689.2,0.5,76,Wind blowing from the south-southeast,1,50%.,20.2,,20–30%.,600-1000,10,20.5,5,24
17.05.2021 05:45,20.4,688.7,,96,Wind blowing from the north-northwest,2,20–30%.,,,20–30%.,1000-1500,10,19.7,,
16.05.2021 17:45,24,686.8,0,84,Wind blowing from the west-southwest,6,"90  or more, but not 100%",,32.3,60%.,300-600,5,21.2,3,9
16.05.2021 14:45,31.8,686.8,-1.9,50,Wind blowing from the east-southeast,4,20–30%.,,,20–30%.,600-1000,12,20.1,,
16.05.2021 11:45,29.8,688.7,-0.8,55,Wind blowing from the south-east,3,40%.,,,20–30%.,600-1000,12,19.7,,
16.05.2021 08:45,25.2,689.5,1.2,68,Wind blowing from the south-east,2,40%.,18.5,,20–30%.,600-1000,12,18.9,0.7,24
16.05.2021 05:45,18.8,688.3,,96,"Calm, no wind",0,40%.,,,20–30%.,"2500 or more, or no clouds.",12,18.2,,
15.05.2021 17:45,24.9,686.5,-0.2,68,,,,,29.8,60%.,600-1000,12,18.6,0.7,9
15.05.2021 14:45,25.4,686.7,-0.9,79,Wind blowing from the south-southeast,2,"90  or more, but not 100%",,,60%.,600-1000,8,21.4,,
15.05.2021 11:45,28.4,687.6,-0.3,56,Wind blowing from the south-east,3,40%.,,,40%.,600-1000,12,18.9,,
15.05.2021 08:45,25,687.9,1.1,69,Wind blowing from the south-east,2,"10%  or less, but not 0",18,,"10%  or less, but not 0",600-1000,12,19,No precipitation,24
15.05.2021 05:45,18.4,686.8,,95,,,,,,20–30%.,"2500 or more, or no clouds.",10,17.5,,
14.05.2021 17:45,24.2,684.1,-0.7,61,Wind blowing from the east-southeast,2,70 – 80%.,,29.6,40%.,600-1000,10,16.1,No precipitation,9
14.05.2021 14:45,28.6,684.8,-1.7,50,,,,,,40%.,600-1000,10,17.1,,
14.05.2021 11:45,25.2,686.5,-0.9,64,Wind blowing from the south-east,2,50%.,,,50%.,600-1000,10,18,,
14.05.2021 08:45,23.4,687.4,1.3,73,Wind blowing from the south-east,2,20–30%.,17.8,,20–30%.,600-1000,12,18.2,0.3,24
14.05.2021 05:45,18.2,686.1,,96,"Calm, no wind",0,40%.,,,20–30%.,600-1000,10,17.6,,
13.05.2021 17:45,24.6,685.1,-1.5,43,Wind blowing from the south-east,2,20–30%.,,25.4,"10%  or less, but not 0",600-1000,10,11.2,No precipitation,9
13.05.2021 14:45,23.8,686.6,-1.7,69,,,,,,40%.,300-600,9,17.7,,
13.05.2021 11:45,21.2,688.3,-0.2,81,Wind blowing from the south-east,2,"90  or more, but not 100%",,,50%.,200-300,8,17.7,,
13.05.2021 08:45,18.7,688.5,1.1,93,Wind blowing from the north-northwest,1,100%.,16.9,,60%.,200-300,8,17.5,16,24
13.05.2021 05:45,17,687.4,,98,,,,,,60%.,100-200,7,16.7,,
12.05.2021 17:45,21.5,684.4,-0.3,88,Wind blowing from the north-west,3,70 – 80%.,,27.4,50%.,600-1000,7,19.4,1,9
12.05.2021 14:45,26.3,684.7,-2.5,61,Wind blowing from the south-east,3,60%.,,,50%.,600-1000,8,18.1,,
12.05.2021 11:45,22.8,687.2,-0.2,77,,,,,,50%.,600-1000,8,18.5,,
12.05.2021 08:45,21.3,687.4,0.7,78,Wind blowing from the south-southeast,1,70 – 80%.,17.2,,50%.,600-1000,10,17.2,2,24
12.05.2021 05:45,17.4,686.7,,94,Wind blowing from the north-west,2,40%.,,,40%.,600-1000,12,16.5,,
11.05.2021 17:45,20.7,686.3,,86,Wind blowing from the west-northwest,2,"90  or more, but not 100%",,29.3,60%.,600-1000,9,18.2,0.7,9
11.05.2021 11:45,27.2,687.8,-0.8,58,Wind blowing from the south-east,3,50%.,,,50%.,600-1000,12,18.3,,
11.05.2021 08:45,21.9,688.6,0.9,74,Wind blowing from the east-northeast,2,50%.,15.9,,20–30%.,600-1000,10,17,8,24
11.05.2021 05:45,16.1,687.7,,96,,,,,,"10%  or less, but not 0",600-1000,12,15.5,,
10.05.2021 17:45,19,687.4,0.7,95,Wind blowing from the west-northwest,2,"90  or more, but not 100%",,28,40%.,600-1000,8,18.1,7,9
10.05.2021 14:45,25.8,686.7,-1.9,62,Wind blowing from the east-southeast,2,"90  or more, but not 100%",,,40%.,600-1000,9,18,,
10.05.2021 11:45,26,688.6,-0.4,60,Wind blowing from the west,1,20–30%.,,,20–30%.,600-1000,10,17.6,,
10.05.2021 08:45,20.4,689,,87,Wind blowing from the west-southwest,2,60%.,18.5,,20–30%.,600-1000,10,18.1,2,24
10.05.2021 05:45,18.6,687.9,,89,"Calm, no wind",0,"90  or more, but not 100%",,,50%.,600-1000,10,16.8,,
09.05.2021 17:45,23.8,686.9,-0.7,72,Wind blowing from the west-northwest,3,100%.,,28.1,50%.,600-1000,10,18.5,No precipitation,9
09.05.2021 14:45,27.1,687.6,-1.7,54,Wind blowing from the east-southeast,3,70 – 80%.,,,40%.,600-1000,10,16.9,,
09.05.2021 11:45,26.9,689.3,-1.2,50,Wind blowing from the south-southeast,3,60%.,,,40%.,600-1000,12,15.7,,
09.05.2021 08:45,21.6,690.5,0.9,78,"Calm, no wind",0,20–30%.,15.5,,"10%  or less, but not 0",600-1000,12,17.5,25,24
09.05.2021 05:45,16,689.6,,98,"Calm, no wind",0,"90  or more, but not 100%",,,60%.,100-200,1,15.7,,
08.05.2021 14:45,18.6,690.2,-0.3,92,Wind blowing from the south-east,4,100%.,,,70 – 80%.,100-200,0.5,17.3,,
08.05.2021 11:45,26.8,690.5,-0.5,62,Wind blowing from the east,3,70 – 80%.,,,60%.,600-1000,9,18.8,,
08.05.2021 08:45,23.2,691,1,74,Wind blowing from the east,1,20–30%.,16.5,,"10%  or less, but not 0",1000-1500,10,18.3,0.7,24
08.05.2021 05:45,17,690,,98,"Calm, no wind",0,20–30%.,,,"10%  or less, but not 0",600-1000,10,16.7,,
07.05.2021 17:45,22.8,688.8,-1.5,87,Wind blowing from the west-northwest,2,70 – 80%.,,28.2,40%.,600-1000,10,20.5,0.7,9
07.05.2021 14:45,22.8,690.3,-1.5,86,,,,,,40%.,600-1000,10,20.3,,
07.05.2021 11:45,26.4,691.8,0.5,68,Wind blowing from the east,2,40%.,,,40%.,600-1000,10,19.9,,
07.05.2021 08:45,21.1,691.3,0.9,84,,,,19,,20–30%.,600-1000,10,18.2,Trace of precipitation,24
07.05.2021 05:45,19.2,690.4,,86,Wind blowing from the west-northwest,1,70 – 80%.,,,50%.,600-1000,10,16.8,,
06.05.2021 17:45,24.2,688.8,-1,70,Wind blowing from the north,3,"90  or more, but not 100%",,27.8,40%.,600-1000,10,18.4,No precipitation,9
06.05.2021 14:45,26.8,689.8,-1.7,58,Wind blowing from the south-southeast,2,70 – 80%.,,,20–30%.,600-1000,10,17.8,,
06.05.2021 11:45,26.4,691.5,-0.3,59,Wind blowing from the south,2,60%.,,,40%.,600-1000,10,17.7,,
06.05.2021 08:45,20.9,691.8,1.4,82,Wind blowing from the north-west,1,"90  or more, but not 100%",17,,50%.,300-600,10,17.7,17,24
06.05.2021 05:45,17.1,690.4,,97,Wind blowing from the north-west,1,"90  or more, but not 100%",,,50%.,300-600,10,16.6,,
05.05.2021 17:45,23.3,686.6,-1.6,73,Wind blowing from the south-east,2,60%.,,24.2,50%.,600-1000,7,18.2,0.1,9
05.05.2021 14:45,23.2,688.2,-2.1,76,Wind blowing from the south,3,70 – 80%.,,,50%.,300-600,6,18.7,,
05.05.2021 11:45,23.2,690.3,-0.1,83,Wind blowing from the east-southeast,2,"90  or more, but not 100%",,,50%.,200-300,5,20.1,,
05.05.2021 08:45,20.5,690.4,1.1,91,Wind blowing from the south-southeast,1,"90  or more, but not 100%",18.7,,50%.,300-600,8,18.9,12,24
05.05.2021 05:45,19,689.3,,96,Wind blowing from the west-northwest,1,"90  or more, but not 100%",,,50%.,200-300,8,18.3,,
04.05.2021 17:45,20,688,1.2,93,Wind blowing from the south-east,2,100%.,,30,60%.,100-200,4,18.8,4,9
04.05.2021 14:45,26.4,686.8,,64,Wind blowing from the south-southeast,3,"90  or more, but not 100%",,,50%.,600-1000,7,19,,
04.05.2021 08:45,22.5,689.8,1.1,76,,,,16.2,,"10%  or less, but not 0",600-1000,10,18.1,2,24
04.05.2021 05:45,16.8,688.7,,95,Wind blowing from the west-northwest,1,20–30%.,,,no clouds,"2500 or more, or no clouds.",10,16,,
03.05.2021 17:45,19.6,687.3,-1.3,91,Wind blowing from the south-west,1,"90  or more, but not 100%",,29.5,40%.,300-600,7,18,2,9
03.05.2021 14:45,20.2,688.6,-0.7,88,Wind blowing from the south,2,100%.,,,60%.,600-1000,7,18.1,,
03.05.2021 11:45,28.9,689.3,-0.7,53,Wind blowing from the south-southeast,3,40%.,,,40%.,600-1000,8,18.3,,
03.05.2021 08:45,23.4,690,1.5,89,Wind blowing from the south-southwest,2,40%.,18.2,,"10%  or less, but not 0",600-1000,8,21.5,No precipitation,24
03.05.2021 05:45,18.4,688.5,,95,Wind blowing from the south,1,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,6,17.5,,
02.05.2021 17:45,25.4,687.9,-1.5,67,Wind blowing from the south,2,60%.,,27.6,20–30%.,600-1000,8,18.7,No precipitation,9
02.05.2021 14:45,27.3,689.4,-1.9,58,Wind blowing from the south-southeast,3,60%.,,,40%.,600-1000,7,18.4,,
02.05.2021 11:45,25.2,691.3,,68,Wind blowing from the south-east,3,60%.,,,50%.,600-1000,8,18.9,,
02.05.2021 05:45,18.6,690.7,,91,,,,,,40%.,600-1000,8,17.1,,
01.05.2021 17:45,20.2,689.1,0.6,82,,,,,31.7,50%.,600-1000,6,17.1,4,9
01.05.2021 14:45,28.3,688.5,-1.5,49,Wind blowing from the south,3,"90  or more, but not 100%",,,50%.,600-1000,9,16.6,,
01.05.2021 11:45,29.2,690,-0.3,47,,,,,,20–30%.,600-1000,10,16.6,,
01.05.2021 08:45,23.2,690.3,0.4,68,Wind blowing from the south-east,2,40%.,19.5,,"10%  or less, but not 0",600-1000,9,17,No precipitation,24
01.05.2021 05:45,20,689.9,,78,"Calm, no wind",0,50%.,,,20–30%.,600-1000,8,16.1,,
30.04.2021 17:45,28.6,687.7,-0.7,46,Wind blowing from the east-southeast,1,40%.,,31.7,"10%  or less, but not 0",600-1000,10,15.9,No precipitation,9
30.04.2021 14:45,31,688.4,-2.5,37,Wind blowing from the south-east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,10,14.5,,
30.04.2021 11:45,28.8,690.9,-0.8,47,,,,,,"10%  or less, but not 0",1000-1500,10,16.5,,
30.04.2021 08:45,20.4,691.7,1.6,81,Wind blowing from the west-northwest,1,"90  or more, but not 100%",17,,50%.,600-1000,8,17.1,7,24
30.04.2021 05:45,17.6,690.1,,95,Wind blowing from the south-southeast,2,"90  or more, but not 100%",,,40%.,600-1000,7,16.7,,
29.04.2021 17:45,28,688,-1,54,Wind blowing from the west-northwest,4,50%.,,31.7,20–30%.,1000-1500,6,17.9,No precipitation,9
29.04.2021 14:45,30,689,,46,Wind blowing from the south,1,50%.,,,20–30%.,1000-1500,6,17.3,,
29.04.2021 08:45,23.2,692.2,1.5,53,Wind blowing from the north-west,2,20–30%.,18.2,,20–30%.,"2500 or more, or no clouds.",6,13.2,No precipitation,24
29.04.2021 05:45,19,690.7,,67,,,,,,"10%  or less, but not 0","2500 or more, or no clouds.",6,12.6,,
28.04.2021 17:45,29.8,688.2,-0.4,39,Wind blowing from the north-west,3,50%.,,32.8,20–30%.,600-1000,6,14.5,No precipitation,9
28.04.2021 14:45,32.6,688.6,-2.7,29,Wind blowing from the east-southeast,3,no clouds,,,,,5,12.1,,
28.04.2021 11:45,30.1,691.3,-0.4,37,,,,,,,"2500 or more, or no clouds.",5,13.9,,
28.04.2021 08:45,23.4,691.7,1.8,60,Wind blowing from the south-west,1,no clouds,18.5,,,,6,15.2,No precipitation,24
28.04.2021 05:45,18.8,689.9,,73,Wind blowing from the west-northwest,2,no clouds,,,,,6,13.8,,
27.04.2021 17:45,30.4,687.6,,35,Wind blowing from the north-northeast,2,"10%  or less, but not 0",,33.5,"10%  or less, but not 0",600-1000,6,13.1,No precipitation,9
27.04.2021 14:45,32.9,687.7,-1.8,30,Wind blowing from the south-southeast,4,no clouds,,,,,5,13,,
27.04.2021 11:45,30.6,689.5,-0.8,38,Wind blowing from the north-east,3,no clouds,,,,,5,14.8,,
27.04.2021 08:45,25,690.3,1.5,53,Wind blowing from the north,1,"10%  or less, but not 0",18.5,,"10%  or less, but not 0",600-1000,5,14.7,No precipitation,24
27.04.2021 05:45,18.6,688.8,,73,Wind blowing from the north-west,2,no clouds,,,,,6,13.7,,
26.04.2021 17:45,31,686.7,-0.7,29,Wind blowing from the east-southeast,2,no clouds,,32.8,,,8,10.9,No precipitation,9
26.04.2021 14:45,32.6,687.4,-2.3,26,Wind blowing from the south-east,3,no clouds,,,,,8,10.6,,
26.04.2021 11:45,31.1,689.7,-0.4,32,Wind blowing from the east,3,no clouds,,,,,8,12.7,,
26.04.2021 08:45,23.2,690.1,1.4,46,Wind blowing from the south,1,no clouds,16.9,,,,8,10.9,No precipitation,24
26.04.2021 05:45,17,688.7,,68,Wind blowing from the north-west,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,8,11,,
25.04.2021 17:45,30.9,687.4,-0.9,30,Wind blowing from the south,2,20–30%.,,33.8,20–30%.,600-1000,10,11.6,No precipitation,9
25.04.2021 14:45,33,688.3,-1.8,24,Wind blowing from the east,3,20–30%.,,,20–30%.,600-1000,10,9.8,,
25.04.2021 11:45,30.2,690.1,-0.8,35,Wind blowing from the east-northeast,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,12,13,,
25.04.2021 08:45,24.2,690.9,1.4,48,Wind blowing from the north-northwest,1,no clouds,15.6,,,,12,12.4,No precipitation,24
25.04.2021 05:45,15.8,689.5,,78,Wind blowing from the west-northwest,2,"10%  or less, but not 0",,,"10%  or less, but not 0",2000-2500,13,12,,
24.04.2021 17:45,28.3,688,0.2,37,Wind blowing from the east-northeast,2,40%.,,32.9,40%.,600-1000,10,12.3,No precipitation,9
24.04.2021 14:45,32.4,687.8,-2.1,28,Wind blowing from the east,3,40%.,,,40%.,600-1000,10,11.6,,
24.04.2021 11:45,29.8,689.9,-0.4,35,,,,,,"10%  or less, but not 0",600-1000,10,12.9,,
24.04.2021 08:45,24.6,690.3,1.1,51,,,,16.7,,"10%  or less, but not 0",600-1000,10,13.8,No precipitation,24
24.04.2021 05:45,17,689.2,,82,,,,,,"10%  or less, but not 0",600-1000,10,13.8,,
23.04.2021 17:45,28.6,687.4,-0.7,34,Wind blowing from the east,2,"10%  or less, but not 0",,30.2,"10%  or less, but not 0",600-1000,13,11.2,No precipitation,9
23.04.2021 14:45,29.6,688.1,-2,37,Wind blowing from the east-northeast,3,20–30%.,,,20–30%.,600-1000,13,13.2,,
23.04.2021 11:45,25.8,690.1,-0.8,46,Wind blowing from the south-east,2,no clouds,,,,,13,13.4,,
23.04.2021 08:45,19.8,690.9,0.7,68,Wind blowing from the south-southeast,1,no clouds,12.5,,,,13,13.8,1,24
23.04.2021 05:45,12.8,690.2,,98,Wind blowing from the north-northeast,1,no clouds,,,,,13,12.5,,
22.04.2021 17:45,21.4,689.7,0.3,65,Wind blowing from the north-east,3,50%.,,28,40%.,600-1000,10,14.5,0.2,9
22.04.2021 14:45,27.4,689.4,-2.5,46,Wind blowing from the east-southeast,3,20–30%.,,,20–30%.,600-1000,12,14.9,,
22.04.2021 11:45,24,691.9,-1.2,54,Wind blowing from the east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,12,14.2,,
22.04.2021 08:45,16.8,693.1,1.1,89,Wind blowing from the south-southeast,2,70 – 80%.,15,,50%.,600-1000,12,14.9,5,24
22.04.2021 05:45,16,692,,90,Wind blowing from the north-west,3,"90  or more, but not 100%",,,50%.,600-1000,12,14.4,,
21.04.2021 17:45,20.6,690.1,-2.7,74,Wind blowing from the west,3,70 – 80%.,,26.1,20–30%.,600-1000,12,15.7,2,9
21.04.2021 14:45,18.9,692.8,1.5,82,Wind blowing from the north-northwest,3,100%.,,,50%.,600-1000,8,15.7,,
21.04.2021 11:45,24.8,691.3,0.2,52,Wind blowing from the south,2,"90  or more, but not 100%",,,40%.,600-1000,7,14.4,,
21.04.2021 08:45,23.6,691.1,1.9,59,Wind blowing from the west-northwest,2,"90  or more, but not 100%",19.4,,40%.,600-1000,7,15.1,No precipitation,24
21.04.2021 05:45,21.6,689.2,,63,Wind blowing from the south-west,3,"90  or more, but not 100%",,,40%.,600-1000,10,14.2,,
20.04.2021 17:45,29.4,685.9,,40,Wind blowing from the east-southeast,2,40%.,,32,40%.,600-1000,10,14.5,No precipitation,9
20.04.2021 14:45,31.5,686,,32,Wind blowing from the east-southeast,4,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,12,13.1,,
20.04.2021 11:45,29,688,,39,Wind blowing from the south-east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",600-1000,12,13.8,,
20.04.2021 05:45,16.2,687.1,,87,Wind blowing from the north-northwest,2,no clouds,,,,,12,14,,
19.04.2021 17:45,26.6,685.7,-0.5,38,Wind blowing from the west,3,"10%  or less, but not 0",,29.2,"10%  or less, but not 0",600-1000,10,11,No precipitation,9
