Local time in Rikaze,T,Po,P,Pa,U,Ff,ff10,ff3,Tn,Tx,H,Td,RRR,tR
31.05.2021 14:00,20.2,476.5,737.8,-1.5,20,3,,,9.3,25.7,"2500 or more, or no clouds.",-3.5,No precipitation,12
31.05.2021 11:00,17.1,478,740,0.1,26,2,,7,9.3,25.7,"2500 or more, or no clouds.",-2.5,No precipitation,12
31.05.2021 08:00,11.4,477.9,740.8,0.7,41,1,,10,9.3,25.7,"2500 or more, or no clouds.",-1.4,No precipitation,12
31.05.2021 05:00,11.3,477.2,738.7,0.1,40,2,,10,10.7,25.7,"2500 or more, or no clouds.",-1.8,No precipitation,12
31.05.2021 02:00,14.4,477.1,737.8,,34,3,,10,10.7,25.7,"2500 or more, or no clouds.",-1.2,No precipitation,12
30.05.2021 23:00,17.6,476.3,737.2,,27,3,,10,10.7,25.7,,-1.6,No precipitation,6
30.05.2021 20:00,21.4,475.2,736.2,,22,4,,8,10.7,25.7,"2500 or more, or no clouds.",-1.2,No precipitation,12
30.05.2021 17:00,23.4,476,736.3,,15,2,,8,10.7,24.3,,-4.7,No precipitation,6
30.05.2021 14:00,21.9,478.3,739,,15,3,,8,10.7,24.1,,-5.9,No precipitation,6
30.05.2021 11:00,17.5,479.7,742.6,0.2,24,2,,6,10.7,24.1,"2500 or more, or no clouds.",-3.3,No precipitation,12
30.05.2021 08:00,12.3,479.5,743.2,0.7,42,2,,7,10.2,24.1,"2500 or more, or no clouds.",-0.2,No precipitation,12
30.05.2021 05:00,12.4,478.8,740.7,,41,2,,11,10,24.1,"2500 or more, or no clouds.",-0.5,No precipitation,12
30.05.2021 02:00,15.5,478.6,740.3,,34,3,,11,10,24.1,,-0.3,No precipitation,6
29.05.2021 23:00,17.2,478,740.4,1,35,4,,11,10,24.1,"2500 or more, or no clouds.",1.6,No precipitation,12
29.05.2021 20:00,20.9,477,740.4,-0.5,23,3,,11,10,24.1,"2500 or more, or no clouds.",-1,No precipitation,12
29.05.2021 17:00,23.2,477.5,738.7,-2,22,3,,6,10,23.2,"2500 or more, or no clouds.",0.3,No precipitation,12
29.05.2021 14:00,20.4,479.5,743.2,-1.5,27,1,,,10,20.6,"2500 or more, or no clouds.",0.8,No precipitation,12
29.05.2021 11:00,16.9,481,746.2,,35,2,,8,10,19,"2500 or more, or no clouds.",1.4,No precipitation,12
29.05.2021 08:00,10.2,480.6,747.9,,64,0,,,10,19,,3.7,No precipitation,6
29.05.2021 05:00,12.6,480.3,745.6,0,48,1,,,10.8,19,"2500 or more, or no clouds.",1.9,No precipitation,12
29.05.2021 02:00,12.7,480.3,746,0,46,1,,9,10.8,19,"2500 or more, or no clouds.",1.4,No precipitation,12
28.05.2021 23:00,14.9,480.3,746.1,1.4,37,4,,9,10.8,19,"2500 or more, or no clouds.",0.4,Trace of precipitation,12
28.05.2021 20:00,17.6,478.9,744.4,0.3,31,3,,,10.8,19,"2500 or more, or no clouds.",0.3,Trace of precipitation,12
28.05.2021 17:00,18.3,478.6,743.5,-1.4,38,2,,6,10.8,19.1,"2500 or more, or no clouds.",3.8,Trace of precipitation,12
28.05.2021 14:00,17.6,480,745.5,-0.8,38,2,,6,10.8,19.2,"2500 or more, or no clouds.",3.1,Trace of precipitation,12
28.05.2021 11:00,15.3,480.8,748.3,0.2,51,3,,6,10.8,19.2,"2500 or more, or no clouds.",5.2,No precipitation,12
28.05.2021 08:00,11.6,480.6,748.8,0.7,66,1,,8,10.8,,"2500 or more, or no clouds.",5.5,No precipitation,12
28.05.2021 05:00,11.8,479.9,745,-0.2,66,1,,8,11.7,19.2,"2500 or more, or no clouds.",5.7,1,12
28.05.2021 02:00,12.6,480.1,745.1,0.6,64,1,,14,12.1,19.2,"2500 or more, or no clouds.",5.8,1,12
27.05.2021 23:00,12.3,479.5,745.8,1.3,77,0,,14,12.1,19.2,"2500 or more, or no clouds.",8.4,1,12
27.05.2021 20:00,14.4,478.2,744.6,0.8,60,3,,14,12.1,19.2,"2500 or more, or no clouds.",6.7,1,12
27.05.2021 17:00,19,477.4,740.8,-1.1,38,4,,14,12.1,19.2,"2500 or more, or no clouds.",4.4,No precipitation,12
27.05.2021 14:00,18.7,478.5,742,-0.7,34,3,,5,12.1,21.3,"2500 or more, or no clouds.",2.5,No precipitation,12
27.05.2021 11:00,16.2,479.2,744.7,0.4,40,2,,5,12.1,21.3,"2500 or more, or no clouds.",2.6,No precipitation,12
27.05.2021 08:00,12.4,478.8,745.1,0.6,52,1,,5,12.1,,"2500 or more, or no clouds.",2.8,No precipitation,12
27.05.2021 05:00,12.7,478.2,743.1,-0.5,57,1,,9,10.5,21.3,"2500 or more, or no clouds.",4.4,No precipitation,12
27.05.2021 02:00,13.7,478.7,742.6,0.8,49,1,,9,10.5,21.3,"2500 or more, or no clouds.",3.2,0.4,12
26.05.2021 23:00,13.3,477.9,742.5,1.5,60,2,,9,10.5,21.3,"2500 or more, or no clouds.",5.7,0.4,12
26.05.2021 20:00,15.1,476.4,741.1,0.5,55,2,,9,10.5,21.3,"2500 or more, or no clouds.",6.1,0.4,12
26.05.2021 17:00,16.8,475.9,739.4,-1.6,50,2,,9,10.5,21.3,"2500 or more, or no clouds.",6.3,0.4,12
26.05.2021 14:00,18.2,477.5,740.4,-0.9,37,4,,8,10.5,19.7,"2500 or more, or no clouds.",3.3,No precipitation,12
26.05.2021 11:00,16.5,478.4,741.9,0.5,35,1,,7,10.5,19.7,"2500 or more, or no clouds.",1,No precipitation,12
26.05.2021 08:00,13,477.9,741.8,0.3,47,1,,8,10.1,19.7,"2500 or more, or no clouds.",2,No precipitation,12
26.05.2021 05:00,13,477.6,740.9,-0.5,46,2,,8,8.1,19.7,"2500 or more, or no clouds.",1.7,No precipitation,12
26.05.2021 02:00,14.3,478.1,741,0.2,41,3,,8,8.1,19.7,"2500 or more, or no clouds.",1.2,No precipitation,12
25.05.2021 23:00,15.8,477.9,741.7,1.8,37,3,,,,19.7,"2500 or more, or no clouds.",1.2,No precipitation,12
25.05.2021 20:00,18.2,476.1,740.6,-0.5,32,4,,8,8.1,22.7,"2500 or more, or no clouds.",1.2,No precipitation,12
25.05.2021 17:00,18.8,476.6,740.9,-1.5,26,4,,8,8.1,24.8,"2500 or more, or no clouds.",-1.1,No precipitation,12
25.05.2021 14:00,18.8,478.1,741.8,-1.3,21,2,,7,8.1,25.6,"2500 or more, or no clouds.",-4,No precipitation,12
25.05.2021 11:00,15.6,479.4,744,0.1,24,3,,10,8.1,25.6,"2500 or more, or no clouds.",-4.9,No precipitation,12
25.05.2021 08:00,10.1,479.3,743,0.6,37,2,,13,8.1,25.6,"2500 or more, or no clouds.",-3.9,No precipitation,12
25.05.2021 05:00,10.2,478.7,741.2,-0.5,41,2,,13,9.3,25.6,"2500 or more, or no clouds.",-2.5,No precipitation,12
25.05.2021 02:00,12.9,479.2,742,1.1,38,3,,13,9.3,25.6,"2500 or more, or no clouds.",-1.1,No precipitation,12
24.05.2021 23:00,15.9,478.1,740.6,2.6,29,3,,13,9.3,25.6,"2500 or more, or no clouds.",-2.1,No precipitation,12
24.05.2021 20:00,22.8,475.5,736.3,0,14,5,,13,9.3,25.6,"2500 or more, or no clouds.",-6.1,Trace of precipitation,12
24.05.2021 17:00,24.2,475.5,735.1,-2.4,18,4,,8,9.3,25.6,"2500 or more, or no clouds.",-1.6,No precipitation,12
24.05.2021 14:00,21.7,477.9,739,-2,20,3,,,9.3,25.4,"2500 or more, or no clouds.",-2.2,No precipitation,12
24.05.2021 11:00,17.9,479.9,741.6,0.2,27,2,,7,9.3,25.4,"2500 or more, or no clouds.",-1.3,No precipitation,12
24.05.2021 08:00,11.7,479.7,741.9,0.5,41,1,,9,9.3,25.4,"2500 or more, or no clouds.",-1.1,No precipitation,12
24.05.2021 05:00,12.3,479.2,740.5,0.5,35,3,,9,5.4,25.4,"2500 or more, or no clouds.",-2.7,No precipitation,12
24.05.2021 02:00,14.8,478.7,740.2,1.2,29,3,,9,,25.4,"2500 or more, or no clouds.",-3.1,No precipitation,12
23.05.2021 23:00,19.3,477.5,737.9,1.8,14,5,,9,,25.4,"2500 or more, or no clouds.",-8.9,No precipitation,12
23.05.2021 20:00,24.5,475.7,736.4,-0.7,8,2,,7,5.4,25.4,"2500 or more, or no clouds.",-11.9,No precipitation,12
23.05.2021 17:00,25,476.4,737.9,-2.5,11,2,,7,5.4,25,"2500 or more, or no clouds.",-7.5,No precipitation,12
23.05.2021 14:00,21.4,478.9,743.1,-1,14,3,,6,5.4,24.6,"2500 or more, or no clouds.",-7.2,No precipitation,12
23.05.2021 11:00,17.9,479.9,742.3,1,19,2,,5,5.4,24.6,"2500 or more, or no clouds.",-6,No precipitation,12
23.05.2021 08:00,10.2,478.9,742.3,1,37,2,,,5.4,24.6,"2500 or more, or no clouds.",-3.8,No precipitation,12
23.05.2021 05:00,9.1,477.9,741.4,-0.2,33,1,,14,6.2,24.6,"2500 or more, or no clouds.",-6.3,No precipitation,12
23.05.2021 02:00,10.3,478.1,743.1,1.1,30,1,,14,6.2,24.6,"2500 or more, or no clouds.",-6.5,No precipitation,12
22.05.2021 23:00,18.1,477,739.5,1.5,9,2,,14,6.2,24.6,"2500 or more, or no clouds.",-15.3,No precipitation,12
22.05.2021 20:00,23,475.5,737.5,-0.7,5,4,,14,6.2,24.6,"2500 or more, or no clouds.",-18.7,No precipitation,12
22.05.2021 17:00,22.9,476.2,740.2,-2.2,9,2,,5,6.2,24.4,"2500 or more, or no clouds.",-11.6,No precipitation,12
22.05.2021 14:00,19,478.4,743.1,-1.3,15,3,,,6.2,24.4,"2500 or more, or no clouds.",-8.2,No precipitation,12
22.05.2021 11:00,14.8,479.7,743.7,0.6,25,2,,6,6.2,24.4,"2500 or more, or no clouds.",-5,No precipitation,12
22.05.2021 08:00,9.2,479.1,743.4,1.1,44,2,,9,6.2,24.4,"2500 or more, or no clouds.",-2.4,No precipitation,12
22.05.2021 05:00,6.3,478,742.6,-0.1,48,0,,10,6.3,24.4,"2500 or more, or no clouds.",-3.9,No precipitation,12
22.05.2021 02:00,11.2,478.1,741.9,1,30,1,,10,9.5,24.4,"2500 or more, or no clouds.",-5.7,No precipitation,12
21.05.2021 23:00,18.1,477.1,738.5,1.9,17,4,,10,9.5,24.4,"2500 or more, or no clouds.",-7.3,No precipitation,12
21.05.2021 20:00,22.6,475.2,736.6,-0.4,12,4,,10,9.5,24.4,"2500 or more, or no clouds.",-8.2,No precipitation,12
21.05.2021 17:00,23.6,475.6,736.6,-2.1,16,3,,8,9.5,24.3,"2500 or more, or no clouds.",-3.7,No precipitation,12
21.05.2021 14:00,20.3,477.7,740.5,-1.4,24,2,,6,9.5,21.8,"2500 or more, or no clouds.",-0.9,No precipitation,12
21.05.2021 11:00,16.9,479.1,742.1,0.5,30,2,,,9.5,21.8,"2500 or more, or no clouds.",-0.8,No precipitation,12
21.05.2021 08:00,10.4,478.6,743.8,0.7,50,1,,7,9.5,21.8,"2500 or more, or no clouds.",0.2,Trace of precipitation,12
21.05.2021 05:00,10.5,477.9,741.3,0.3,49,1,,7,7.8,21.8,"2500 or more, or no clouds.",0.2,No precipitation,12
21.05.2021 02:00,12.7,477.6,740.2,0.4,41,2,,7,7.8,21.8,"2500 or more, or no clouds.",-0.2,No precipitation,12
20.05.2021 23:00,16.9,477.2,739,1.4,29,4,,7,,21.8,"2500 or more, or no clouds.",-1.2,No precipitation,12
20.05.2021 20:00,19,475.8,739.8,0.3,28,2,,7,7.8,21.8,"2500 or more, or no clouds.",0.1,No precipitation,12
20.05.2021 17:00,21.5,475.5,738.9,-1.5,23,2,,7,7.8,23,"2500 or more, or no clouds.",-0.5,No precipitation,12
20.05.2021 14:00,20.7,477,739.2,-1.5,26,2,,6,7.8,23,"2500 or more, or no clouds.",0.5,No precipitation,12
20.05.2021 11:00,17.3,478.5,740.8,0.3,30,2,,6,7.8,23,"2500 or more, or no clouds.",-0.4,No precipitation,12
20.05.2021 08:00,9.9,478.2,742.6,0.9,54,2,,10,7.8,23,"2500 or more, or no clouds.",1,No precipitation,12
20.05.2021 05:00,8,477.3,741.4,0,59,1,,11,6.5,23,"2500 or more, or no clouds.",0.5,No precipitation,12
20.05.2021 02:00,12.8,477.3,739.5,0.3,40,1,,11,6.5,23,"2500 or more, or no clouds.",-0.5,No precipitation,12
19.05.2021 23:00,17.4,477,739.4,1.8,28,2,,11,6.5,23,"2500 or more, or no clouds.",-1.3,No precipitation,12
19.05.2021 20:00,20.8,475.2,738.8,0,21,5,,11,6.5,23,"2500 or more, or no clouds.",-2.3,No precipitation,12
19.05.2021 17:00,22.1,475.2,737.7,-2,21,2,,10,6.5,22.1,"2500 or more, or no clouds.",-1.2,No precipitation,12
19.05.2021 14:00,21,477.2,740.6,-1.9,25,2,,7,6.5,22.2,"2500 or more, or no clouds.",0.2,No precipitation,12
19.05.2021 11:00,15.6,479.1,744,0.2,48,2,,10,6.5,22.2,"2500 or more, or no clouds.",4.6,0.3,12
19.05.2021 08:00,8.2,478.9,746.2,0.1,84,1,,10,6.5,22.2,"2500 or more, or no clouds.",5.7,0.3,12
19.05.2021 05:00,8.8,478.8,743.4,-0.2,76,1,,12,7.6,22.2,"2500 or more, or no clouds.",4.8,0.3,12
19.05.2021 02:00,10.3,479,743.2,0.6,67,2,,12,10.3,22.2,"2500 or more, or no clouds.",4.4,0.3,12
18.05.2021 23:00,15,478.4,742,1.4,43,2,,12,12.6,22.2,"2500 or more, or no clouds.",2.5,No precipitation,12
18.05.2021 20:00,17.9,477,740.6,0.3,32,5,,12,12.6,22.2,"2500 or more, or no clouds.",1,No precipitation,12
18.05.2021 17:00,21.9,476.7,737.2,-1.2,20,3,,11,12.6,22.5,"2500 or more, or no clouds.",-2.1,No precipitation,12
18.05.2021 14:00,21.4,477.9,738.4,-1.2,19,3,,11,12.6,22.5,"2500 or more, or no clouds.",-3.2,No precipitation,12
18.05.2021 11:00,17.2,479.1,741.5,0.3,25,3,,10,12.6,22.5,"2500 or more, or no clouds.",-3,No precipitation,12
18.05.2021 08:00,12.7,478.8,741.9,0.8,34,3,,10,12.6,22.5,"2500 or more, or no clouds.",-2.7,No precipitation,12
18.05.2021 05:00,14.3,478,739,-0.4,29,2,,10,10.7,22.5,"2500 or more, or no clouds.",-3.5,No precipitation,12
18.05.2021 02:00,15.9,478.4,740.5,1,27,3,,8,8.1,22.5,"2500 or more, or no clouds.",-3.1,No precipitation,12
17.05.2021 23:00,18,477.4,739.8,1,22,3,,10,8.1,22.5,"2500 or more, or no clouds.",-4,No precipitation,12
17.05.2021 20:00,21,476.4,738,-0.7,10,2,,10,8.1,22.5,"2500 or more, or no clouds.",-11.8,No precipitation,12
17.05.2021 17:00,22.4,477.1,738.9,-2.3,7,3,,10,8.1,22.4,"2500 or more, or no clouds.",-15.1,No precipitation,12
17.05.2021 14:00,19,479.4,744.4,,9,2,,10,8.1,22.2,,-14.6,No precipitation,6
17.05.2021 11:00,15.5,480.6,746.9,1.1,13,5,,9,8.1,,"2500 or more, or no clouds.",-12.8,No precipitation,12
17.05.2021 08:00,12.7,479.5,742.4,1.4,19,3,,8,8.1,22.2,"2500 or more, or no clouds.",-10.3,No precipitation,12
17.05.2021 05:00,11.9,478.1,741.4,0.4,21,2,,10,4.6,22.2,"2500 or more, or no clouds.",-9.7,No precipitation,12
17.05.2021 02:00,11.8,477.7,742.3,0.7,33,1,,10,4.6,22.2,"2500 or more, or no clouds.",-3.9,No precipitation,12
16.05.2021 23:00,13.9,477,741.9,1.2,16,2,,13,4.6,22.2,"2500 or more, or no clouds.",-11.5,No precipitation,12
16.05.2021 20:00,21.9,475.8,738.7,-0.9,8,2,,,4.6,22.2,"2500 or more, or no clouds.",-13.8,No precipitation,12
16.05.2021 17:00,20.5,476.7,741.1,-2.1,12,5,,13,4.6,20.9,"2500 or more, or no clouds.",-9.9,No precipitation,12
16.05.2021 14:00,17.8,478.8,745.6,-0.9,13,3,,13,4.6,19,"2500 or more, or no clouds.",-11,No precipitation,12
16.05.2021 11:00,14.6,479.7,746.7,0.6,20,5,,9,4.6,19,"2500 or more, or no clouds.",-8.1,No precipitation,12
16.05.2021 08:00,8.9,479.1,746.2,1.1,34,2,,6,4.6,19,"2500 or more, or no clouds.",-6.1,No precipitation,12
16.05.2021 05:00,8.3,478,744.7,0.3,36,1,,8,3.2,19,"2500 or more, or no clouds.",-5.9,No precipitation,12
16.05.2021 02:00,9,477.7,745,1,35,1,,8,3.2,19,"2500 or more, or no clouds.",-5.6,No precipitation,12
15.05.2021 23:00,12.9,476.7,743.5,1.5,29,2,,9,3.2,19,"2500 or more, or no clouds.",-4.7,No precipitation,12
15.05.2021 20:00,17.8,475.2,742,-0.8,9,1,,9,3.2,19,"2500 or more, or no clouds.",-15.5,No precipitation,12
15.05.2021 17:00,17.9,476,741.6,-1.9,9,4,,9,3.2,18.3,"2500 or more, or no clouds.",-15.4,No precipitation,12
15.05.2021 14:00,15.8,477.9,744.9,-0.7,9,3,,9,3.2,16.1,"2500 or more, or no clouds.",-17,No precipitation,12
15.05.2021 11:00,11.9,478.6,747,1.3,15,4,,9,3.2,15.3,"2500 or more, or no clouds.",-13.9,No precipitation,12
15.05.2021 08:00,5.4,477.3,747.1,1.1,42,1,,9,3.2,15.3,"2500 or more, or no clouds.",-6.5,No precipitation,12
15.05.2021 05:00,8.2,476.2,743.4,0.5,26,2,,12,2.4,15.3,"2500 or more, or no clouds.",-10.2,No precipitation,12
15.05.2021 02:00,9.7,475.7,743.9,1.1,28,2,,12,2.4,15.3,"2500 or more, or no clouds.",-7.9,No precipitation,12
14.05.2021 23:00,11.9,474.6,741,1.7,23,3,,,,15.3,"2500 or more, or no clouds.",-8.6,No precipitation,12
14.05.2021 20:00,14.8,472.9,741.2,-0.1,20,3,,12,2.4,15.3,"2500 or more, or no clouds.",-7.9,No precipitation,12
14.05.2021 17:00,15.3,473,739.3,-1.6,19,2,,9,2.4,17.2,"2500 or more, or no clouds.",-8.2,No precipitation,12
14.05.2021 14:00,11.5,474.6,743.4,-1,27,3,,8,2.4,17.2,"2500 or more, or no clouds.",-6.8,No precipitation,12
14.05.2021 11:00,11.3,475.6,744.7,0.4,35,2,,,2.4,17.2,"2500 or more, or no clouds.",-3.6,No precipitation,12
14.05.2021 08:00,3.5,475.2,748,0.2,89,0,,4,2.4,17.2,"2500 or more, or no clouds.",1.9,No precipitation,12
14.05.2021 05:00,6.6,475,741.7,-0.2,64,2,,14,3.5,17.2,"2500 or more, or no clouds.",0.1,0.3,12
14.05.2021 02:00,7.5,475.2,742.9,0.4,69,1,,14,3.5,17.2,"2500 or more, or no clouds.",2.2,0.3,12
13.05.2021 23:00,8.3,474.8,743.2,1.3,64,2,,14,3.5,17.2,"2500 or more, or no clouds.",1.9,0.3,12
13.05.2021 20:00,9.3,473.5,744.7,0.4,57,3,,14,3.5,17.2,"2500 or more, or no clouds.",1.2,0.3,12
13.05.2021 17:00,16.5,473.1,740.1,-2.4,24,2,,8,3.5,16.7,"2500 or more, or no clouds.",-4.1,No precipitation,12
13.05.2021 14:00,14.2,475.5,743.6,-1.5,29,2,,8,3.5,14.2,"2500 or more, or no clouds.",-3.6,No precipitation,12
13.05.2021 11:00,11.7,477,746.3,0.6,37,1,,5,3.5,13.6,"2500 or more, or no clouds.",-2.5,No precipitation,12
13.05.2021 08:00,4.5,476.4,749.8,0.6,91,1,,12,1.7,13.6,"2500 or more, or no clouds.",3.2,Trace of precipitation,12
13.05.2021 05:00,4.4,475.8,746.5,0.3,85,1,,16,1,13.6,"2500 or more, or no clouds.",2.1,No precipitation,12
13.05.2021 02:00,7.1,475.5,745.4,0,70,2,,16,1,13.6,"2500 or more, or no clouds.",2,No precipitation,12
12.05.2021 23:00,8.8,475.5,747.3,0.5,58,2,,,1,13.6,"2500 or more, or no clouds.",1,No precipitation,12
12.05.2021 20:00,8.2,475,749.4,-0.2,63,8,,16,1,13.6,"2500 or more, or no clouds.",1.4,No precipitation,12
12.05.2021 17:00,12.4,475.2,747.2,-2.1,39,2,,7,1,13.2,"2500 or more, or no clouds.",-1.2,3,12
12.05.2021 14:00,11,477.3,748.3,-1.5,50,4,,8,1,13.1,"2500 or more, or no clouds.",1,8,12
12.05.2021 11:00,6.1,478.8,752.8,0.3,79,3,,8,1,13.1,"2500 or more, or no clouds.",2.6,8,12
12.05.2021 08:00,1.7,478.5,752.5,0,94,2,,9,1,13.1,"2500 or more, or no clouds.",0.8,8,12
12.05.2021 05:00,1.8,478.5,752.2,0,89,2,,9,1.2,13.1,"2500 or more, or no clouds.",0.2,4,12
12.05.2021 02:00,6.9,478.5,750,0.9,69,2,,9,0.6,13.1,"2500 or more, or no clouds.",1.6,No precipitation,12
11.05.2021 23:00,8,477.6,751,1.1,69,2,,9,0.6,13.1,"2500 or more, or no clouds.",2.5,No precipitation,12
11.05.2021 20:00,12,476.5,749.4,-0.3,41,1,,7,0.6,13.1,"2500 or more, or no clouds.",-0.8,No precipitation,12
11.05.2021 17:00,12.4,476.8,750,,36,1,,7,0.6,13.1,,-2.2,No precipitation,6
11.05.2021 14:00,11.2,478.4,752.4,-1,47,3,,7,0.6,15.5,"2500 or more, or no clouds.",0.3,7,12
11.05.2021 11:00,6,479.4,755.2,0.8,75,2,,,0.6,15.5,"2500 or more, or no clouds.",1.9,12,12
11.05.2021 08:00,1.9,478.6,752.9,0.4,92,1,,11,0.6,15.5,"2500 or more, or no clouds.",0.7,13,12
11.05.2021 05:00,1.3,478.2,752.2,-0.6,95,1,,11,0.6,15.5,"2500 or more, or no clouds.",0.6,13,12
11.05.2021 02:00,2.6,478.8,751.4,0.4,90,1,,11,2.6,15.5,"2500 or more, or no clouds.",1.1,7,12
10.05.2021 23:00,5.9,478.4,751,2.2,73,3,,11,4.8,15.5,"2500 or more, or no clouds.",1.4,2,12
10.05.2021 20:00,11.6,476.2,747.4,-0.8,31,1,,10,4.8,16.1,"2500 or more, or no clouds.",-4.9,No precipitation,12
10.05.2021 17:00,12.1,477,746.8,-0.8,35,3,,10,4.8,18.2,"2500 or more, or no clouds.",-2.9,Trace of precipitation,12
10.05.2021 14:00,13.9,477.8,746.5,-1.3,29,3,,9,4.8,18.2,"2500 or more, or no clouds.",-3.8,Trace of precipitation,12
10.05.2021 11:00,10.2,479.1,748.3,0.7,45,2,,12,4.8,18.2,"2500 or more, or no clouds.",-1.2,Trace of precipitation,12
10.05.2021 08:00,5,478.4,748.1,1,71,3,,12,1.9,18.2,"2500 or more, or no clouds.",0.2,Trace of precipitation,12
10.05.2021 05:00,7.4,477.4,745.8,0.1,54,3,,12,0.2,18.2,"2500 or more, or no clouds.",-1.5,No precipitation,12
10.05.2021 02:00,8.4,477.3,745,0.9,47,1,,12,0.2,18.2,"2500 or more, or no clouds.",-2.5,No precipitation,12
09.05.2021 23:00,12.4,476.4,743.6,1.8,25,2,,11,,18.2,"2500 or more, or no clouds.",-7.1,No precipitation,12
09.05.2021 20:00,16.2,474.6,744.1,-1.2,17,4,,8,0.2,18.2,"2500 or more, or no clouds.",-8.9,No precipitation,12
09.05.2021 17:00,15.2,475.8,746.1,-1.8,18,3,,,0.2,17.2,"2500 or more, or no clouds.",-9,No precipitation,12
09.05.2021 14:00,15.3,477.6,746.8,-1.8,19,2,,7,0.2,16.6,"2500 or more, or no clouds.",-8.2,No precipitation,12
09.05.2021 11:00,11.4,479.4,750.3,0.7,33,2,,4,0.2,16.6,"2500 or more, or no clouds.",-4.3,No precipitation,12
09.05.2021 08:00,1.7,478.7,753.3,0.6,94,1,,10,0.2,16.6,"2500 or more, or no clouds.",0.8,No precipitation,12
09.05.2021 05:00,2.3,478.1,750.6,-0.2,79,0,,11,2.3,16.6,"2500 or more, or no clouds.",-1,Trace of precipitation,12
09.05.2021 02:00,5.9,478.3,747.9,0.1,62,1,,,5.2,16.6,"2500 or more, or no clouds.",-0.8,Trace of precipitation,12
08.05.2021 23:00,8.8,478.2,747.7,1.5,48,2,,14,5.7,16.6,"2500 or more, or no clouds.",-1.6,Trace of precipitation,12
08.05.2021 20:00,11.4,476.7,747.7,0.2,38,5,,14,5.7,16.6,"2500 or more, or no clouds.",-2.4,Trace of precipitation,12
08.05.2021 17:00,13.8,476.5,745.1,-1.7,29,4,,14,5.7,16.6,"2500 or more, or no clouds.",-3.9,No precipitation,12
08.05.2021 14:00,15.5,478.2,745.9,-1.8,25,3,,6,5.7,15.8,"2500 or more, or no clouds.",-4.4,No precipitation,12
