Local time in Dadeldhura,T,Po,Pa,U,DD,Ff,N,Tn,Tx,Nh,H,VV,Td,RRR,tR
30.05.2021 05:45,15.2,607.6,,99,Wind blowing from the east,5,100%.,,,60%.,200-300,2,15.1,,
29.05.2021 17:45,19.3,607.6,-0.2,87,Wind blowing from the south,2,100%.,,21.5,60%.,200-300,7,17,Trace of precipitation,9
29.05.2021 14:45,20.4,607.8,-0.4,84,Wind blowing from the south-southwest,4,100%.,,,60%.,200-300,2,17.6,,
29.05.2021 11:45,19,608.2,0.2,100,Wind blowing from the east,4,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,19,,
29.05.2021 08:45,18.1,608,0.9,,,,,15.4,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,,4,24
29.05.2021 05:45,15.7,607.1,,100,,,,,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,15.7,,
28.05.2021 17:45,18.8,606.3,-0.4,82,Wind blowing from the south,2,100%.,,22,60%.,200-300,8,15.7,2,9
28.05.2021 14:45,21.7,606.7,-0.9,82,Wind blowing from the east,2,100%.,,,60%.,200-300,8,18.5,,
28.05.2021 11:45,19.7,607.6,0.9,92,Wind blowing from the east-southeast,5,100%.,,,60%.,200-300,2,18.4,,
28.05.2021 08:45,18.1,606.7,0.9,98,Wind blowing from the south,2,100%.,16.5,,60%.,200-300,2,17.7,No precipitation,24
28.05.2021 05:45,16,605.8,,100,Wind blowing from the east,2,100%.,,,60%.,200-300,2,16,,
27.05.2021 17:45,22,605.4,-0.4,79,Wind blowing from the south,2,40%.,,25.8,20–30%.,200-300,8,18.2,No precipitation,9
27.05.2021 14:45,25.5,605.8,-1,66,Wind blowing from the east,2,60%.,,,40%.,200-300,8,18.7,,
27.05.2021 11:45,23.4,606.8,0.1,73,,,,,,40%.,200-300,8,18.2,,
27.05.2021 08:45,21.1,606.7,1.5,85,Wind blowing from the south,2,60%.,16.8,,40%.,200-300,8,18.4,No precipitation,24
27.05.2021 05:45,16.3,605.2,,94,Wind blowing from the east,2,60%.,,,40%.,200-300,6,15.3,,
26.05.2021 17:45,23.4,604.8,-0.5,71,Wind blowing from the east,2,20–30%.,,26.8,20–30%.,200-300,8,17.8,No precipitation,9
26.05.2021 14:45,26.2,605.3,-0.8,46,Wind blowing from the south,2,50%.,,,40%.,200-300,8,13.5,,
26.05.2021 11:45,24.5,606.1,-0.3,49,Wind blowing from the east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",200-300,8,13,,
26.05.2021 08:45,22.4,606.4,1.2,63,,,,16,,"10%  or less, but not 0",200-300,8,14.9,0.3,24
26.05.2021 05:45,15.8,605.2,,91,Wind blowing from the east,2,60%.,,,40%.,200-300,6,14.3,,
25.05.2021 17:45,21.2,605.8,0,64,Wind blowing from the south,2,60%.,,27.4,40%.,200-300,8,14.1,0.3,9
25.05.2021 14:45,22,605.8,,76,Wind blowing from the west,2,60%.,,,40%.,200-300,8,17.5,,
25.05.2021 08:45,22.2,606.9,0.8,64,Wind blowing from the south,2,20–30%.,15,,20–30%.,200-300,8,15,3,24
25.05.2021 05:45,15,606.1,,75,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,6,10.5,,
24.05.2021 17:45,20.6,606.2,-1.2,56,Wind blowing from the south,2,20–30%.,,25.4,20–30%.,200-300,8,11.6,0.7,9
24.05.2021 14:45,22.2,607.4,,70,Wind blowing from the east,2,70 – 80%.,,,60%.,200-300,8,16.5,,
24.05.2021 08:45,20.8,608.5,1.1,64,,,,14.8,,,"2500 or more, or no clouds.",8,13.6,No precipitation,9
24.05.2021 05:45,15,607.4,,93,Wind blowing from the east,3,no clouds,,,,,6,13.8,,
23.05.2021 17:45,23,606.8,-1.2,56,Wind blowing from the south,2,20–30%.,,26.4,20–30%.,200-300,8,13.8,No precipitation,9
23.05.2021 14:45,25.2,608,-1.2,42,,,,,,20–30%.,200-300,8,11.2,,
23.05.2021 11:45,22.8,609.2,0.1,70,Wind blowing from the south-east,4,20–30%.,,,20–30%.,200-300,8,17.1,,
23.05.2021 08:45,21.8,609.1,1.8,68,,,,15.1,,20–30%.,200-300,6,15.5,No precipitation,24
23.05.2021 05:45,16.2,607.3,,82,Wind blowing from the south-east,4,20–30%.,,,20–30%.,200-300,6,13.1,,
22.05.2021 17:45,22.7,605.1,-1.6,64,Wind blowing from the north-west,3,20–30%.,,26.4,20–30%.,200-300,8,15.6,No precipitation,9
22.05.2021 14:45,25.8,606.7,-1.8,54,Wind blowing from the west,2,20–30%.,,,20–30%.,Less than  50,8,15.7,,
22.05.2021 11:45,22.6,608.5,0.2,60,,,,,,40%.,200-300,8,14.4,,
22.05.2021 08:45,18.7,608.3,0.9,71,,,,13.2,,,"2500 or more, or no clouds.",7,13.2,0.4,24
22.05.2021 05:45,14.5,607.4,,68,Wind blowing from the east,2,no clouds,,,,,7,8.7,,
21.05.2021 17:45,16.8,607,-1.4,76,,,,,19.4,40%.,200-300,8,12.5,,
21.05.2021 14:45,17.8,608.4,-0.4,83,Wind blowing from the south,3,"90  or more, but not 100%",,,70 – 80%.,200-300,8,14.8,,
21.05.2021 11:45,15.8,608.8,0.5,94,Wind blowing from the east,3,"90  or more, but not 100%",,,60%.,200-300,8,14.9,,
21.05.2021 08:45,12.4,608.3,1.8,100,Wind blowing from the west,4,100%.,11.2,,60%.,200-300,6,12.4,113,24
21.05.2021 05:45,11.2,606.5,,100,Wind blowing from the east,2,100%.,,,60%.,200-300,6,11.2,,
20.05.2021 17:45,17.4,605.4,-0.8,89,,,,,20,60%.,200-300,7,15.6,1,9
20.05.2021 14:45,19.3,606.2,-1,85,Wind blowing from the east,3,60%.,,,50%.,200-300,8,16.7,,
20.05.2021 11:45,15.1,607.2,1.4,100,Wind blowing from the west,4,70 – 80%.,,,60%.,200-300,7,15.1,,
20.05.2021 08:45,12.4,605.8,0.1,100,Wind blowing from the east,9,Sky obscured by fog and/or other meteorological phenomena.,12.2,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,12.4,48,24
20.05.2021 05:45,13,605.7,,100,Wind blowing from the east,5,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,13,,
19.05.2021 14:45,13.6,607.9,-0.9,100,Wind blowing from the east,3,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,13.6,,
19.05.2021 11:45,13.4,608.8,0.2,100,Wind blowing from the south,4,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,13.4,,
19.05.2021 08:45,13.3,608.6,0.8,100,Wind blowing from the south,3,Sky obscured by fog and/or other meteorological phenomena.,13.2,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,13.3,6,24
19.05.2021 05:45,13.2,607.8,,100,Wind blowing from the east,2,Sky obscured by fog and/or other meteorological phenomena.,,,Sky obscured by fog and/or other meteorological phenomena.,Less than  50,0.2,13.2,,
18.05.2021 17:45,19.8,607.9,-1.4,68,Wind blowing from the east,2,100%.,,22.8,70 – 80%.,200-300,8,13.8,No precipitation,9
18.05.2021 14:45,22.6,609.3,-0.5,56,Wind blowing from the south,2,"90  or more, but not 100%",,,60%.,200-300,8,13.3,,
18.05.2021 11:45,22,609.8,0.2,46,,,,,,60%.,200-300,8,9.8,,
18.05.2021 08:45,17.6,609.6,1.5,69,Wind blowing from the south,2,100%.,16.5,,60%.,200-300,8,11.7,No precipitation,24
18.05.2021 05:45,16.8,608.1,,61,Wind blowing from the east,2,"90  or more, but not 100%",,,50%.,200-300,6,9.3,,
17.05.2021 17:45,21.4,608.8,-0.1,43,,,,,23.5,60%.,200-300,8,8.4,No precipitation,9
17.05.2021 14:45,22.2,608.9,-1.7,45,,,,,,50%.,200-300,8,9.8,,
17.05.2021 11:45,23.2,610.6,0.5,39,,,,,,50%.,200-300,8,8.3,,
17.05.2021 08:45,20.6,610.1,0.3,56,Wind blowing from the south,2,"90  or more, but not 100%",15.5,,50%.,200-300,8,11.6,No precipitation,24
17.05.2021 05:45,15.8,609.8,,65,Wind blowing from the east,2,50%.,,,40%.,200-300,6,9.2,,
16.05.2021 17:45,24.3,608.5,-0.6,33,Wind blowing from the west,2,no clouds,,26.8,,,8,7.1,No precipitation,9
16.05.2021 14:45,26.4,609.1,-0.5,36,Wind blowing from the south,2,20–30%.,,,20–30%.,200-300,8,10.1,,
16.05.2021 11:45,24.4,609.6,-0.4,43,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,8,11.1,,
16.05.2021 08:45,21.8,610,1.2,52,Wind blowing from the south-east,2,20–30%.,13.6,,"10%  or less, but not 0",300-600,8,11.6,No precipitation,24
16.05.2021 05:45,13.8,608.8,,70,Wind blowing from the east,2,50%.,,,20–30%.,300-600,6,8.4,,
15.05.2021 17:45,21.3,606.7,-1.2,53,,,,,25,40%.,200-300,8,11.2,No precipitation,9
15.05.2021 14:45,20.7,607.9,-0.8,62,Wind blowing from the west,2,70 – 80%.,,,20–30%.,200-300,7,13.1,,
15.05.2021 11:45,23.3,608.7,0.8,45,Wind blowing from the south,2,70 – 80%.,,,40%.,200-300,8,10.7,,
15.05.2021 08:45,20.6,607.9,0.9,69,Wind blowing from the east-southeast,1,40%.,13.3,,"10%  or less, but not 0",300-600,8,14.7,No precipitation,24
15.05.2021 05:45,13.4,607,,,,,,,,,"2500 or more, or no clouds.",6,,,
14.05.2021 17:45,21.5,605.6,-1.3,59,Wind blowing from the east,2,20–30%.,,23,20–30%.,200-300,8,13,No precipitation,9
14.05.2021 14:45,22.3,606.9,-0.5,41,,,,,,40%.,200-300,8,8.4,,
14.05.2021 11:45,20.4,607.4,0,54,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,8,10.6,,
14.05.2021 08:45,17.2,607.4,0.9,75,Wind blowing from the west,3,20–30%.,10.2,,20–30%.,200-300,8,12.6,9,24
14.05.2021 05:45,10.4,606.5,,92,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,6,9.1,,
13.05.2021 17:45,12.9,606.7,-0.5,93,Wind blowing from the south,2,"90  or more, but not 100%",,20.3,60%.,200-300,8,11.8,7,9
13.05.2021 14:45,15.2,607.2,-1,91,,,,,,60%.,200-300,8,13.7,,
13.05.2021 11:45,19.2,608.2,1.1,64,Wind blowing from the south,3,70 – 80%.,,,40%.,200-300,8,12.1,,
13.05.2021 08:45,16.5,607.1,1.5,73,Wind blowing from the east,3,70 – 80%.,10.5,,40%.,200-300,8,11.6,10,24
13.05.2021 05:45,11,605.6,,100,,,,,,60%.,200-300,6,11,,
12.05.2021 17:45,18,606.1,-3.2,79,Wind blowing from the east,2,60%.,,22.8,40%.,200-300,8,14.3,0.1,9
12.05.2021 14:45,21.9,609.3,-0.6,66,Wind blowing from the south,2,60%.,,,40%.,200-300,8,15.2,,
12.05.2021 11:45,21.2,609.9,2.7,59,,,,,,40%.,300-600,8,12.9,,
12.05.2021 08:45,17.8,607.2,0.5,81,Wind blowing from the south-east,1,60%.,13.5,,40%.,300-600,8,14.5,No precipitation,24
12.05.2021 05:45,13.6,606.7,,92,Wind blowing from the east,2,70 – 80%.,,,50%.,200-300,6,12.3,,
11.05.2021 17:45,17.8,607,,82,Wind blowing from the east,2,100%.,,23.3,40%.,200-300,8,14.7,No precipitation,9
11.05.2021 11:45,20.7,608.5,0.4,70,Wind blowing from the east,2,70 – 80%.,,,40%.,200-300,8,15,,
11.05.2021 08:45,18.2,608.1,0.3,77,Wind blowing from the south,2,60%.,13.3,,40%.,200-300,8,14,2,24
11.05.2021 05:45,13.6,607.8,,83,,,,,,60%.,200-300,6,10.8,,
10.05.2021 17:45,17.8,607.3,-0.5,72,Wind blowing from the south,2,70 – 80%.,,23.8,50%.,200-300,8,12.6,No precipitation,9
10.05.2021 14:45,23,607.8,-0.7,54,Wind blowing from the east,2,60%.,,,40%.,200-300,5,13.3,,
10.05.2021 11:45,21.2,608.5,0.5,64,Wind blowing from the south,2,70 – 80%.,,,50%.,200-300,8,14,,
10.05.2021 08:45,17.3,608,,74,,,60%.,12.5,,40%.,200-300,8,12.5,3,24
10.05.2021 05:45,13.6,607.9,,81,Wind blowing from the east,2,60%.,,,40%.,200-300,6,10.4,,
09.05.2021 17:45,20,607.7,-1.6,67,Wind blowing from the south,2,70 – 80%.,,23.8,50%.,200-300,8,13.7,No precipitation,9
09.05.2021 14:45,21.1,609.3,-1,56,Wind blowing from the east,2,60%.,,,40%.,200-300,8,11.9,,
09.05.2021 11:45,21.4,610.3,-0.1,56,Wind blowing from the south,3,50%.,,,40%.,200-300,8,12.2,,
09.05.2021 08:45,16.8,610.4,1.9,74,Wind blowing from the south,2,60%.,12.2,,40%.,200-300,8,12.1,0.7,24
09.05.2021 05:45,12.6,608.5,,75,Wind blowing from the east,3,70 – 80%.,,,50%.,200-300,6,8.2,,
08.05.2021 14:45,21.6,610,-1.5,57,Wind blowing from the south,2,50%.,,,40%.,200-300,8,12.6,,
08.05.2021 11:45,21.5,611.5,0.3,50,Wind blowing from the east,2,60%.,,,40%.,200-300,8,10.7,,
08.05.2021 08:45,18.5,611.2,1.7,61,Wind blowing from the west,2,60%.,13.2,,40%.,200-300,8,10.9,No precipitation,24
08.05.2021 05:45,13.2,609.5,,73,Wind blowing from the east,2,70 – 80%.,,,50%.,200-300,6,8.5,,
07.05.2021 17:45,21.8,609.8,-0.9,56,Wind blowing from the east,2,60%.,,23.8,40%.,200-300,8,12.5,No precipitation,9
07.05.2021 14:45,23.3,610.7,-0.9,47,,,,,,50%.,200-300,8,11.2,,
07.05.2021 11:45,19.2,611.6,0.6,65,Wind blowing from the west,3,70 – 80%.,,,50%.,200-300,8,12.4,,
07.05.2021 08:45,14.3,611,1.5,77,,,,11.5,,40%.,200-300,8,10.2,8,24
07.05.2021 05:45,11.4,609.5,,92,Wind blowing from the south-east,2,"90  or more, but not 100%",,,50%.,200-300,6,10.1,,
06.05.2021 17:45,17.7,609.4,-0.6,84,Wind blowing from the west,2,70 – 80%.,,23.6,40%.,200-300,8,15,No precipitation,9
06.05.2021 14:45,21.2,610,-0.9,63,Wind blowing from the west,2,"90  or more, but not 100%",,,20–30%.,200-300,8,13.9,,
06.05.2021 11:45,20.6,610.9,0.6,66,Wind blowing from the south,3,60%.,,,50%.,200-300,8,14,,
06.05.2021 08:45,17.8,610.3,1.4,75,Wind blowing from the east,3,70 – 80%.,11.7,,50%.,200-300,7,13.2,5,24
06.05.2021 05:45,12.8,608.9,,84,Wind blowing from the east,2,70 – 80%.,,,40%.,300-600,6,10.2,,
05.05.2021 17:45,16.1,608.6,-0.2,85,Wind blowing from the east,4,100%.,,22.2,60%.,200-300,3,13.5,0.4,9
05.05.2021 14:45,19.5,608.8,-1.6,66,Wind blowing from the south,2,"90  or more, but not 100%",,,40%.,200-300,7,12.9,,
05.05.2021 11:45,15.6,610.4,0.4,94,Wind blowing from the east,3,"90  or more, but not 100%",,,50%.,200-300,2,14.7,,
05.05.2021 08:45,12.6,610,1.3,100,Wind blowing from the south,2,Sky obscured by fog and/or other meteorological phenomena.,12.1,,Sky obscured by fog and/or other meteorological phenomena.,,0.2,12.6,6,24
05.05.2021 05:45,13.4,608.7,,84,Wind blowing from the south-east,2,"90  or more, but not 100%",,,60%.,200-300,6,10.8,,
04.05.2021 17:45,18.6,607.7,-0.2,73,Wind blowing from the south,2,"90  or more, but not 100%",,24,50%.,200-300,8,13.6,No precipitation,9
04.05.2021 14:45,23.6,607.9,,60,Wind blowing from the east,2,60%.,,,40%.,200-300,8,15.3,,
04.05.2021 08:45,18,609.6,1.4,76,,,,12.5,,40%.,300-600,7,13.6,28,24
04.05.2021 05:45,13.4,608.2,,90,Wind blowing from the south-east,2,"90  or more, but not 100%",,,50%.,200-300,6,11.8,,
03.05.2021 17:45,18.3,607.5,-0.7,69,Wind blowing from the south,2,"90  or more, but not 100%",,25.4,20–30%.,200-300,8,12.4,No precipitation,9
03.05.2021 14:45,23.6,608.2,-2.1,56,Wind blowing from the east,3,60%.,,,40%.,200-300,8,14.3,,
03.05.2021 11:45,22.6,610.3,0.2,55,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,8,13.1,,
03.05.2021 08:45,19.2,610.1,0.6,68,Wind blowing from the south-east,2,"10%  or less, but not 0",11.9,,"10%  or less, but not 0",300-600,8,13.1,3,24
03.05.2021 05:45,12.8,609.5,,78,Wind blowing from the east,1,20–30%.,,,20–30%.,300-600,6,9.1,,
02.05.2021 17:45,13.6,609.4,-0.1,90,Wind blowing from the east,2,60%.,,25.5,20–30%.,200-300,6,12,2,9
02.05.2021 14:45,21,609.5,-1.8,61,Wind blowing from the south,2,60%.,,,20–30%.,200-300,8,13.1,,
02.05.2021 11:45,23,611.3,,65,Wind blowing from the east,3,60%.,,,40%.,200-300,8,16.1,,
02.05.2021 05:45,15.4,610,,81,,,,,,,"2500 or more, or no clouds.",6,12.2,,
01.05.2021 17:45,21.7,608.8,-0.6,51,,,,,26.4,40%.,200-300,8,11,No precipitation,9
01.05.2021 14:45,24.5,609.4,-2.1,49,Wind blowing from the east,2,50%.,,,40%.,200-300,8,13.1,,
01.05.2021 11:45,24.4,611.5,0.2,44,,,,,,20–30%.,200-300,8,11.2,,
01.05.2021 08:45,19.2,611.3,1.5,64,Wind blowing from the east,2,"10%  or less, but not 0",14.5,,no clouds,"2500 or more, or no clouds.",6,12.1,Trace of precipitation,24
01.05.2021 05:45,14.6,609.8,,73,Wind blowing from the east,1,70 – 80%.,,,50%.,200-300,6,9.7,,
30.04.2021 17:45,20.1,610,-0.9,59,Wind blowing from the east,2,70 – 80%.,,26,60%.,200-300,8,11.7,No precipitation,9
30.04.2021 14:45,24.5,610.9,-0.6,48,Wind blowing from the south,2,60%.,,,40%.,200-300,8,12.8,,
30.04.2021 11:45,23.2,611.5,0,23,,,,,,40%.,200-300,8,0.8,,
30.04.2021 08:45,20.4,611.5,2.1,51,Wind blowing from the south-east,2,20–30%.,13.9,,20–30%.,300-600,8,9.9,No precipitation,24
30.04.2021 05:45,14.6,609.4,,64,Wind blowing from the east,2,20–30%.,,,20–30%.,300-600,6,7.8,,
29.04.2021 17:45,16.9,610.5,-0.1,58,Wind blowing from the east,2,70 – 80%.,,28.4,40%.,200-300,8,8.6,No precipitation,9
29.04.2021 14:45,23.3,610.6,,46,Wind blowing from the south,2,70 – 80%.,,,20–30%.,200-300,8,11.1,,
29.04.2021 08:45,21.1,612.2,1.9,44,Wind blowing from the west,2,20–30%.,16.5,,20–30%.,200-300,8,8.2,No precipitation,24
29.04.2021 05:45,16.6,610.3,,38,,,,,,20–30%.,300-600,6,2.2,,
28.04.2021 17:45,24.1,610.2,-1.2,35,Wind blowing from the north-west,2,20–30%.,,28.3,20–30%.,200-300,8,7.6,No precipitation,9
28.04.2021 14:45,27.7,611.4,,26,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,8,6.4,,
28.04.2021 08:45,23,611.2,1.7,37,Wind blowing from the east,2,no clouds,15.5,,,,8,7.6,No precipitation,24
28.04.2021 05:45,15.6,609.5,,52,Wind blowing from the east,1,no clouds,,,,,6,5.8,,
27.04.2021 17:45,22.8,609.1,,34,Wind blowing from the south-southwest,2,60%.,,28.3,20–30%.,200-300,8,6,No precipitation,9
27.04.2021 14:45,27.1,609.7,-0.9,32,Wind blowing from the south,2,20–30%.,,,20–30%.,200-300,8,9.2,,
27.04.2021 11:45,26.8,610.6,0.9,33,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,8,9.4,,
27.04.2021 08:45,22.6,609.7,0.9,37,Wind blowing from the east-southeast,1,no clouds,14.9,,,,8,7,No precipitation,24
27.04.2021 05:45,15,608.8,,49,Wind blowing from the east,1,no clouds,,,,,6,4.2,,
26.04.2021 17:45,23.9,608.9,-0.8,25,Wind blowing from the east,2,20–30%.,,27.5,20–30%.,200-300,8,2.9,No precipitation,9
26.04.2021 14:45,21.8,609.7,-1.1,45,Wind blowing from the north-west,2,20–30%.,,,20–30%.,200-300,8,9.3,,
26.04.2021 11:45,25.4,610.8,0.5,26,Wind blowing from the south,2,20–30%.,,,20–30%.,200-300,8,4.6,,
26.04.2021 08:45,20.8,610.3,1,40,Wind blowing from the east,2,no clouds,13.6,,,,8,6.5,No precipitation,24
26.04.2021 05:45,13.6,609.3,,56,Wind blowing from the east,1,no clouds,,,,,6,5,,
25.04.2021 17:45,23.2,609.1,-0.5,32,Wind blowing from the south-southwest,2,20–30%.,,25.7,20–30%.,200-300,10,5.4,No precipitation,9
25.04.2021 14:45,25.4,609.6,-0.7,31,Wind blowing from the east,2,50%.,,,20–30%.,200-300,10,7.1,,
25.04.2021 11:45,23.2,610.3,0,36,Wind blowing from the south,1,no clouds,,,,,10,7.2,,
25.04.2021 08:45,19.2,610.3,1.7,48,Wind blowing from the east,1,no clouds,10.1,,,,10,7.9,2,24
25.04.2021 05:45,10.4,608.6,,66,Wind blowing from the east,2,no clouds,,,,,6,4.3,,
24.04.2021 17:45,13.6,609.1,-0.4,80,Wind blowing from the south,2,100%.,,20.2,60%.,200-300,8,10.2,2,9
24.04.2021 14:45,17.8,609.5,-0.2,59,Wind blowing from the east,2,60%.,,,40%.,200-300,8,9.7,,
24.04.2021 11:45,19.2,609.7,,46,,,,,,40%.,200-300,8,7.1,,
23.04.2021 17:45,11.1,610,-0.4,86,Wind blowing from the north-west,2,70 – 80%.,,20.4,50%.,200-300,6,8.9,2,9
23.04.2021 14:45,15.8,610.4,-1.1,67,Wind blowing from the east,4,"90  or more, but not 100%",,,50%.,300-600,6,9.6,,
23.04.2021 11:45,19.2,611.5,0.7,52,Wind blowing from the west,4,70 – 80%.,,,50%.,200-300,6,9.1,,
23.04.2021 08:45,14.3,610.8,1.1,63,Wind blowing from the east,3,20–30%.,7.2,,20–30%.,200-300,8,7.3,6,24
23.04.2021 05:45,8.2,609.7,,80,Wind blowing from the east,2,"10%  or less, but not 0",,,"10%  or less, but not 0",300-600,6,4.9,,
22.04.2021 17:45,13.1,609.9,-0.4,67,Wind blowing from the south-southwest,2,20–30%.,,15.2,20–30%.,200-300,6,7,5,9
22.04.2021 14:45,12.2,610.3,-1,81,Wind blowing from the west,2,70 – 80%.,,,50%.,200-300,6,9,,
22.04.2021 11:45,10.2,611.3,0.9,94,Wind blowing from the south,2,100%.,,,60%.,200-300,3,9.2,,
22.04.2021 08:45,11.2,610.4,0.8,85,Wind blowing from the east,2,70 – 80%.,6.8,,50%.,Less than  50,3,8.8,20,24
22.04.2021 05:45,7,609.6,,100,Wind blowing from the east,1,"90  or more, but not 100%",,,60%.,200-300,2,7,,
21.04.2021 17:45,15.7,609.6,-0.4,66,Wind blowing from the east,2,40%.,,18.2,20–30%.,300-600,10,9.3,2,9
21.04.2021 14:45,17,610,-1.5,74,Wind blowing from the south,2,60%.,,,40%.,200-300,10,12.3,,
21.04.2021 11:45,16.4,611.5,0.2,64,Wind blowing from the south,3,60%.,,,40%.,300-600,10,9.6,,
21.04.2021 08:45,10.4,611.3,1.1,94,Wind blowing from the south,3,"90  or more, but not 100%",9.9,,60%.,200-300,8,9.4,3,24
21.04.2021 05:45,12,610.2,,72,Wind blowing from the south-east,4,"90  or more, but not 100%",,,50%.,200-300,6,7.1,,
20.04.2021 17:45,21.4,608.1,,32,Wind blowing from the south,2,70 – 80%.,,26.6,20–30%.,200-300,8,3.9,No precipitation,9
20.04.2021 14:45,23.7,608.5,,23,Wind blowing from the south,3,50%.,,,40%.,200-300,8,1.5,,
20.04.2021 11:45,24.8,609.1,,22,Wind blowing from the east,2,60%.,,,20–30%.,200-300,8,1.4,,
20.04.2021 05:45,12.8,607.5,,62,Wind blowing from the east,1,no clouds,,,,,6,5.7,,
19.04.2021 17:45,20.7,607.3,-0.2,32,Wind blowing from the east,2,20–30%.,,25.3,20–30%.,200-300,10,3.3,No precipitation,9
19.04.2021 14:45,24,607.5,,30,Wind blowing from the south,2,40%.,,,20–30%.,300-600,10,5.2,,
19.04.2021 08:45,17.6,608.4,1.2,46,Wind blowing from the south-east,2,no clouds,10.7,,,,8,5.9,4,24
19.04.2021 05:45,11,607.2,,66,Wind blowing from the east,2,no clouds,,,,,6,4.8,,
18.04.2021 17:45,17.7,610.4,-0.9,50,Wind blowing from the south,2,100%.,,22.6,100%.,100-200,6,7.2,2,9
18.04.2021 14:45,22.3,611.3,-0.9,35,Wind blowing from the west,3,20–30%.,,,20–30%.,200-300,10,5.9,,
18.04.2021 11:45,20.5,612.2,1,46,Wind blowing from the east,2,20–30%.,,,20–30%.,200-300,6,8.4,,
18.04.2021 08:45,15.2,611.2,,62,Wind blowing from the west,2,50%.,8.2,,20–30%.,200-300,8,7.8,5,24
17.04.2021 17:45,19.8,610.2,-1.1,39,Wind blowing from the east,2,60%.,,21.8,40%.,200-300,6,5.5,No precipitation,9
17.04.2021 14:45,19.1,611.3,-0.5,51,Wind blowing from the west,2,50%.,,,40%.,200-300,6,8.6,,
17.04.2021 11:45,18.5,611.8,0.1,53,Wind blowing from the east,3,"90  or more, but not 100%",,,60%.,200-300,6,8.8,,
